FieldName,description_en,description_fr,type_en,type_fr
Mesure de sonde (récupération/déploiement),"Time the probe measurement data was noted (when traps were set or fished).  Probe types were various models of YSI multimeter or thermometer and refractometer depending on what was availble when the trap site was visited. This value is mainly ""fished"", but where no measurement was taken then, the ""set"" values were used.","Le moment où les données de mesure ont été relevées (lors du déploiement ou la récupération du piège). L'instrument utilisé était un des divers modèles de multimètres, de thermomètres ou de réfractomètres YSI, en fonction de ce qui était disponible lors de la visite sur le site du piège. Cette valeur est principalement au moment de « récupération », mais lorsque aucune mesure n'a été relevée, ce sont les valeurs de « déploiement » qui ont été utilisées.",Text,Texte
Temperature__température (°C),"Water temperature reading (°C). ""--"" means no measurement was available.",Température de l'eau (°C). « -- » signifie qu'aucune mesure n'était disponible.,Numeric,Numérique
Salinity (ppt)__salinité (ppm),"Water salinity, in parts per thousand (ppt).  ""--"" means no measurement was available.","Salinité de l'eau, en paftie par millier (ppm).  « -- » signifie qu'aucune mesure n'était disponible.",Numeric,Numérique
Tide,"State of tide (high, med, or low) and tide direction (incoming/outgoing)","État de la marée (haute, moyenne ou basse) et sens de la marée (montante/descendante)",Text,Texte
Marée,"State of tide (high, med, or low) and tide direction (incoming/outgoing)","État de la marée (haute, moyenne ou basse) et sens de la marée (montante/descendante)",Text,Texte
Weather,Weather conditions at fishing,Conditions météorologiques à la récupération du piège,Text,Texte
Météo,Weather conditions at fishing,Conditions météorologiques à la récupération du piège,Text,Texte
Sediment,Sediment type in the trap area,Type de sédiments dans la zone du piège,Text,Texte
Sédiment,Sediment type in the trap area,Type de sédiments dans la zone du piège,Text,Texte
Vegetation,The vegetation species observed in the trapping area (vernacular or common name). Common names are not capitalized unless they are based on a place or a person’s name.,"Le nom d'espèces de végétation observées près du piège  (vernaculaire ou commun). Les noms communs ne prennent pas de majuscule, sauf s'ils sont basés sur un nom de lieu ou de personne.",Text,Texte
Végétation,The vegetation species observed in the trapping area (vernacular or common name). Common names are not capitalized unless they are based on a place or a person’s name.,"Le nom d'espèces de végétation observées près du piège  (vernaculaire ou commun). Les noms communs ne prennent pas de majuscule, sauf s'ils sont basés sur un nom de lieu ou de personne.",Text,Texte
