year,site_name,site_lat,site_lng,start_date,end_date,n_transects,n_lobsters
2014,Shediac,46.263227083333334,-64.46822083333333,2014-06-18,2014-06-24,9,314
2014,Toney River,45.784818333333334,-62.941206666666666,2014-08-12,2014-08-13,6,159
2015,Caraquet,47.84128611111112,-64.89207777777777,2015-07-07,2015-07-17,26,8688
2015,Cocagne,46.40379416666667,-64.59110416666668,2015-06-26,2015-07-02,9,2514
2015,Murray Corner,46.181915,-63.981190000000005,2015-08-05,2015-08-05,3,170
2015,Pointe-Verte,47.85683958333334,-65.74553333333334,2015-07-22,2015-07-23,6,1346
2015,Richibucto,46.736913333333334,-64.794275,2015-07-28,2015-07-30,6,1597
2015,Shediac,46.263227083333334,-64.46822083333333,2015-06-23,2015-06-25,9,851
2015,Toney River,45.784818333333334,-62.941206666666666,2015-08-06,2015-08-11,4,134
2016,Caraquet,47.84128611111112,-64.89207777777777,2016-07-05,2016-07-14,18,6689
2016,Cocagne,46.40379416666667,-64.59110416666668,2016-06-22,2016-06-27,9,2800
2016,Murray Corner,46.181915,-63.981190000000005,2016-08-02,2016-08-02,3,241
2016,Neguac,47.288275,-64.92514833333334,2016-07-18,2016-07-18,3,674
2016,Pointe-Verte,47.85683958333334,-65.74553333333334,2016-07-21,2016-07-21,4,1314
2016,Richibucto,46.736913333333334,-64.794275,2016-07-25,2016-07-26,6,1307
2016,Shediac,46.263227083333334,-64.46822083333333,2016-06-29,2016-07-29,8,1072
2016,Toney River,45.784818333333334,-62.941206666666666,2016-08-03,2016-08-03,3,55
2017,Caraquet,47.84128611111112,-64.89207777777777,2017-07-05,2017-07-14,17,7641
2017,Cocagne,46.40379416666667,-64.59110416666668,2017-06-13,2017-06-26,9,2984
2017,Fox Harbor,45.87311,-63.42298166666667,2017-07-27,2017-07-27,4,30
2017,Murray Corner,46.181915,-63.981190000000005,2017-07-24,2017-07-24,3,214
2017,Neguac,47.288275,-64.92514833333334,2017-07-19,2017-07-19,3,608
2017,Pointe-Verte,47.85683958333334,-65.74553333333334,2017-07-17,2017-07-18,4,956
2017,Richibucto,46.736913333333334,-64.794275,2017-07-20,2017-07-21,6,1215
2017,Shediac,46.263227083333334,-64.46822083333333,2017-06-27,2017-06-29,6,776
2017,Toney River,45.784818333333334,-62.941206666666666,2017-07-26,2017-07-26,3,60
2018,Caraquet,47.84128611111112,-64.89207777777777,2018-07-03,2018-07-12,21,6877
2018,Cocagne,46.40379416666667,-64.59110416666668,2018-06-11,2018-07-24,8,2828
2018,Fox Harbor,45.87311,-63.42298166666667,2018-07-31,2018-07-31,4,27
2018,Murray Corner,46.181915,-63.981190000000005,2018-06-20,2018-06-20,3,195
2018,Pointe-Verte,47.85683958333334,-65.74553333333334,2018-07-16,2018-07-16,4,608
2018,Richibucto,46.736913333333334,-64.794275,2018-07-30,2018-07-30,6,1133
2018,Shediac,46.263227083333334,-64.46822083333333,2018-06-21,2018-07-23,7,796
2018,Toney River,45.784818333333334,-62.941206666666666,2018-07-25,2018-07-25,3,71
2019,Caraquet,47.84128611111112,-64.89207777777777,2019-07-04,2019-07-16,12,5075
2019,Cocagne,46.40379416666667,-64.59110416666668,2019-06-11,2019-07-19,11,2599
2019,Fox Harbor,45.87311,-63.42298166666667,2019-07-29,2019-07-29,5,24
2019,Murray Corner,46.181915,-63.981190000000005,2019-07-22,2019-07-22,5,115
2019,Neguac,47.288275,-64.92514833333334,2019-07-25,2019-07-31,7,792
2019,Pointe-Verte,47.85683958333334,-65.74553333333334,2019-07-17,2019-07-17,5,1038
2019,Richibucto,46.736913333333334,-64.794275,2019-07-23,2019-07-24,5,1288
2019,Shediac,46.263227083333334,-64.46822083333333,2019-06-24,2019-06-28,5,821
2019,Toney River,45.784818333333334,-62.941206666666666,2019-07-30,2019-07-30,5,124
2021,Alberton,46.847766666666665,-63.996125000000006,2021-10-12,2021-10-15,4,735
2021,Caraquet,47.84128611111112,-64.89207777777777,2021-07-05,2021-07-14,12,3306
2021,Cocagne,46.40379416666667,-64.59110416666668,2021-06-09,2021-06-22,13,2777
2021,Fox Harbor,45.87311,-63.42298166666667,2021-07-26,2021-07-26,5,22
2021,Malpeque Bay,46.54983333333333,-63.8475,2021-10-26,2021-10-26,1,0
2021,Murray Corner,46.181915,-63.981190000000005,2021-07-21,2021-07-21,5,98
2021,Neguac,47.288275,-64.92514833333334,2021-07-28,2021-07-28,5,588
2021,Nine Mile Creek,46.110685000000004,-63.17575833333334,2021-10-20,2021-10-21,6,38
2021,Pointe-Verte,47.85683958333334,-65.74553333333334,2021-07-15,2021-07-15,4,1006
2021,Richibucto,46.736913333333334,-64.794275,2021-07-19,2021-07-20,5,1256
2021,Shediac,46.263227083333334,-64.46822083333333,2021-06-24,2021-06-25,5,951
2021,Toney River,45.784818333333334,-62.941206666666666,2021-07-27,2021-07-27,4,77
