L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'air à l'arrivée,Température moyenne de l'eau sur le rivage,Profondeur moyenne de l'eau (m),Durée totale de fonctionnement (h),Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Longnose sucker,meunier rouge,Catostomus catostomus,163894,1,155.000,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,3,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,892,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,12,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Stickleback (non specific),épinoches (non spécifique),,166363,13,,fork
2004,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.598,8.622,,4758.0,Suckers (non specific),catostomes (non spécifique),,163892,13,34.500,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,88,272.542,total
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,2242,93.503,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,77,,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,10,120.100,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,27,,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,3,,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,801,,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,21,,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Stickleback (non specific),épinoches (non spécifique),,166363,10,,fork
2005,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.786,10.321,,3342.0,Suckers (non specific),catostomes (non spécifique),,163892,17,,fork
