Year,SampleID,SampleType,EventID ,SamplingLocation ,SamplingSite,SiteCode,EventDate,RecordedBy,DecimalLatitude,DecimalLongitude,VolumeFiltered (mL),FilterType,Brook Floater OccurrenceStatus,Brook Floater Ct_1,Brook Floater Ct_2,Brook Floater Ct_3,Brook Floater eDNA Concentration_1 (pg/L),Brook Floater eDNA Concentration_2 (pg/L),Brook Floater eDNA Concentration_3 (pg/L),Eastern Pearlshell OccurrenceStatus,Eastern Pearlshell Ct_1,Eastern Pearlshell Ct_2,Eastern Pearlshell Ct_3,Eastern Pearlshell eDN/A concentration_1 (pg/L),Eastern Pearlshell eDN/A concentration_2 (pg/L),Eastern Pearlshell eDN/A concentration_3 (pg/L),Yellow Lampmussel OccurrenceStatus,Yellow Lampmussel Ct_1,Yellow Lampmussel Ct_2,Yellow Lampmussel Ct_3,Yellow Lampmussel eDN/A concentration_1 (pg/L) ,Yellow Lampmussel eDN/A concentration_2 (pg/L) ,Yellow Lampmussel eDN/A concentration_3 (pg/L) 
2017,r17D:1180,Field blank,2017-r17D:1180,N/A,N/A,N/A,6/5/2017,ARM,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Inconclusive / Non concluant,No Ct,37.8,N/A,0,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1181,Sample,2017-r17D:1181,Barnaby River,Mir11,N/A,6/5/2017,ARM,46.85996,-65.44615,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1182,Sample,2017-r17D:1182,Barnaby River,Mir11,N/A,6/5/2017,ARM,46.85994,-65.4459,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1183,Field blank,2017-r17D:1183,N/A,N/A,N/A,7/6/2017,ARM,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1185,Sample,2017-r17D:1185,Taxis River,Mir10,N/A,7/5/2017,ARM,46.5478,-66.42287,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.8,33.2,N/A,83.8,118.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1186,Sample,2017-r17D:1186,Taxis River,Mir10,N/A,7/5/2017,ARM,46.45493,-66.42291,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.9,32.3,N/A,79.6,212.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1187,Sample,2017-r17D:1187,Southwest Miramichi River,Mir12,N/A,7/5/2017,ARM,46.51131,-66.28583,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,No Ct,39.4,N/A,0,5.3,N/A,Detected / Détecté,32.1,31.9,N/A,251,283.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1188,Sample,2017-r17D:1188,Southwest Miramichi River,Mir12,N/A,7/5/2017,ARM,46.51117,-66.28639,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,39.5,No Ct,N/A,5.2,0,N/A,Detected / Détecté,32.6,32.6,N/A,182.9,174.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1481,Field blank,2017-r17D:1481,N/A,N/A,N/A,6/16/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1482,Sample,2017-r17D:1482,Shediac River,ShdD,N/A,6/16/2017,SBWA,46.23792,-64.68964,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,32.7,32.7,N/A,162.9,165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1483,Field blank,2017-r17D:1483,N/A,N/A,N/A,6/16/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1484,Sample,2017-r17D:1484,Shediac River,ShdD,N/A,6/16/2017,SBWA,46.23653,-64.69017,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,32.3,33.2,N/A,213.6,122.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1485,Field blank,2017-r17D:1485,N/A,N/A,N/A,6/16/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1486,Sample,2017-r17D:1486,Shediac River,ShdM,N/A,6/16/2017,SBWA,46.20761,-64.6725,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,32.1,32,N/A,239.9,271.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1487,Field blank,2017-r17D:1487,N/A,N/A,N/A,6/16/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1488,Sample,2017-r17D:1488,Scoudouc River,ScdD,N/A,6/16/2017,SBWA,46.19411,-64.52336,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,30.9,31,N/A,530.5,510.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1489,Field blank,2017-r17D:1489,N/A,N/A,N/A,6/16/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Inconclusive / Non concluant,35.5,No Ct,N/A,26.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1490,Sample,2017-r17D:1490,Scoudouc River,ScdD,N/A,6/16/2017,SBWA,46.19417,-64.52208,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,31.3,31.9,N/A,407.2,281.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1491,Field blank,2017-r17D:1491,N/A,N/A,N/A,6/23/2017,GKWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1492,Sample,2017-r17D:1492,Kouchibouguacis River,Kcis1,N/A,6/23/2017,GKWA,46.64747,-65.17111,500,1.5 µm Glass Fiber,Detected / Détecté,38,37.6,N/A,13.7,17.6,N/A,Detected / Détecté,35.1,34.5,N/A,35.3,52.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1493,Sample,2017-r17D:1493,Kouchibouguacis River,Kcis1,N/A,6/23/2017,GKWA,46.64739,-65.17111,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,38.6,No Ct,N/A,9.4,0,N/A,Detected / Détecté,32.8,34,N/A,161.8,70.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1494,Field blank,2017-r17D:1494,N/A,N/A,N/A,6/23/2017,GKWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1495,Sample,2017-r17D:1495,Kouchibouguacis River,Kcis2,N/A,6/23/2017,GKWA,46.71175,-65.06069,500,1.5 µm Glass Fiber,Detected / Détecté,37.3,37.2,N/A,21.5,22.5,N/A,Detected / Détecté,31.7,32.9,N/A,314.6,143.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1496,Sample,2017-r17D:1496,Kouchibouguacis River,Kcis2,N/A,6/23/2017,GKWA,46.71169,-65.06072,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,38.5,No Ct,N/A,10,0,N/A,Detected / Détecté,32.3,33,N/A,219.2,140.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1497,Field blank,2017-r17D:1497,N/A,N/A,N/A,6/23/2017,GKWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1498,Sample,2017-r17D:1498,Kouchibouguacis River,Kcis3,N/A,6/23/2017,GKWA,46.71328,-65.06156,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,39.4,No Ct,N/A,2.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1499,Sample,2017-r17D:1499,Kouchibouguacis River,Kcis2,N/A,6/23/2017,GKWA,46.71175,-65.06142,500,1.5 µm Glass Fiber,Detected / Détecté,37.2,37.2,N/A,22.6,22.9,N/A,Detected / Détecté,33.6,34,N/A,95.3,73.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1741,Field blank,2017-r17D:1741,N/A,N/A,N/A,6/29/2017,SAA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1742,Sample,2017-r17D:1742,Bouctouche River,Bou1,N/A,6/29/2017,SAA,46.35764,-64.89969,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.4,31.8,N/A,106.4,302.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1743,Sample,2017-r17D:1743,Bouctouche River,Bou1,N/A,6/29/2017,SAA,46.35806,-64.90028,500,1.5 µm Glass Fiber,Detected / Détecté,39.8,37.5,N/A,4.1,18.3,N/A,Detected / Détecté,33.3,32.9,N/A,115,146.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1744,Field blank,2017-r17D:1744,N/A,N/A,N/A,7/6/2017,SAA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1745,Sample,2017-r17D:1745,Bouctouche River,Bou2,N/A,7/6/2017,SAA,46.36519,-64.88739,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,37.4,No Ct,N/A,19.8,0,N/A,Detected / Détecté,33.4,32.9,N/A,108.5,151.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1746,Sample,2017-r17D:1746,Bouctouche River,Bou2,N/A,7/6/2017,SAA,46.36539,-64.88678,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,38.9,No Ct,N/A,7.5,0,N/A,Detected / Détecté,33.7,34.3,N/A,86,60.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1747,Sample,2017-r17D:1747,Bouctouche River,Bou2,N/A,7/6/2017,SAA,46.36567,-64.88586,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,38,No Ct,N/A,13.8,0,N/A,Detected / Détecté,35.7,34.5,N/A,23.8,54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1748,Sample,2017-r17D:1748,Bouctouche River,Bou2,N/A,7/6/2017,SAA,46.36583,-64.88497,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.2,33.5,N/A,119.5,102.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1749,Field blank,2017-r17D:1749,N/A,N/A,N/A,7/6/2017,SAA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1836,Sample,2017-r17D:1836,Southwest Miramichi River,Mir1,N/A,8/10/2017,MREAC,46.54588,-66.16428,500,1.5 µm Glass Fiber,Detected / Détecté,38.6,38.6,N/A,9.1,9.1,N/A,Inconclusive / Non concluant,No Ct,35.3,N/A,0,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1837,Sample,2017-r17D:1837,Southwest Miramichi River,Mir1,N/A,8/10/2017,MREAC,46.54588,-66.16428,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,36.8,No Ct,N/A,29.4,0,N/A,Detected / Détecté,33.1,33.3,N/A,126.6,116.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1838,Field blank,2017-r17D:1838,N/A,N/A,N/A,8/10/2017,MREAC,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1839,Field blank,2017-r17D:1839,N/A,N/A,N/A,8/11/2017,GKWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1840,Sample,2017-r17D:1840,Kouchibouguacis River,Kcis1,N/A,8/11/2017,GKWA,46.64742,-65.17092,500,1.5 µm Glass Fiber,Detected / Détecté,38.1,37.5,N/A,12.5,19.5,N/A,Detected / Détecté,32.9,32.7,N/A,145,166.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1841,Sample,2017-r17D:1841,Kouchibouguacis River,Kcis1,N/A,8/11/2017,GKWA,46.64722,-65.17083,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,No Ct,38.5,N/A,0,9.5,N/A,Detected / Détecté,33.8,33.9,N/A,80.6,79.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1842,Field blank,2017-r17D:1842,N/A,N/A,N/A,8/11/2017,GKWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1843,Sample,2017-r17D:1843,Kouchibouguacis River,Kcis3,N/A,8/11/2017,GKWA,46.71317,-65.06178,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1844,Sample,2017-r17D:1844,Kouchibouguacis River,Kcis2,N/A,8/11/2017,GKWA,46.71167,-65.06056,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,37.3,No Ct,N/A,21.5,0,N/A,Detected / Détecté,31.8,31.1,N/A,293,469.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1845,Field blank,2017-r17D:1845,N/A,N/A,N/A,8/11/2017,GKWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1846,Sample,2017-r17D:1846,Kouchibouguacis River,Kcis2,N/A,8/11/2017,GKWA,46.71167,-65.06058,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,No Ct,37.5,N/A,0,18.3,N/A,Detected / Détecté,34.2,33.5,N/A,61.9,99.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1848,Sample,2017-r17D:1848,Kouchibouguacis River,Kcis2,N/A,8/11/2017,GKWA,46.71167,-65.06194,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,37.4,No Ct,N/A,20.2,0,N/A,Detected / Détecté,32.3,31.5,N/A,220.6,374.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1849,Field blank,2017-r17D:1849,N/A,N/A,N/A,8/25/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1850,Sample,2017-r17D:1850,Shediac River,ShdD,N/A,8/25/2017,SBWA,46.23792,-64.68964,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,32.1,32.1,N/A,244.6,254.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1851,Field blank,2017-r17D:1851,N/A,N/A,N/A,8/25/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1852,Sample,2017-r17D:1852,Shediac River,ShdD,N/A,8/25/2017,SBWA,46.23653,-64.69017,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,31.2,31.8,N/A,442.8,308.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1853,Field blank,2017-r17D:1853,N/A,N/A,N/A,8/25/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1854,Sample,2017-r17D:1854,Shediac River,ShdM,N/A,8/25/2017,SBWA,46.20761,-64.6725,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,32,32.1,N/A,266,252.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1855,Field blank,2017-r17D:1855,N/A,N/A,N/A,8/25/2017,SBWA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1856,Sample,2017-r17D:1856,Scoudouc River,ScdD,N/A,8/25/2017,SBWA,46.19411,-64.52336,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1857,Sample,2017-r17D:1857,Scoudouc River,ScdD,N/A,8/25/2017,SBWA,46.19417,-64.52208,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Inconclusive / Non concluant,No Ct,30.3,N/A,0,786.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1869,Field blank,2017-r17D:1869,N/A,N/A,N/A,8/17/2017,SAA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1870,Sample,2017-r17D:1870,Bouctouche River,Bou1,N/A,8/17/2017,SAA,46.35764,-64.89969,500,1.5 µm Glass Fiber,Detected / Détecté,35.9,37.4,N/A,52.4,20.8,N/A,Detected / Détecté,32,32.5,N/A,269.4,193.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1871,Sample,2017-r17D:1871,Bouctouche River,Bou1,N/A,8/17/2017,SAA,46.35806,-64.90028,500,1.5 µm Glass Fiber,Detected / Détecté,37.9,38.2,N/A,14.1,12.1,N/A,Detected / Détecté,32.5,35.4,N/A,192.6,28.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1872,Field blank,2017-r17D:1872,N/A,N/A,N/A,8/17/2017,SAA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1873,Sample,2017-r17D:1873,Bouctouche River,Bou2,N/A,8/17/2017,SAA,46.36583,-64.88497,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,38.3,No Ct,N/A,11.1,0,N/A,Detected / Détecté,33.8,33.5,N/A,84.9,100.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1874,Sample,2017-r17D:1874,Bouctouche River,Bou2,N/A,8/17/2017,SAA,46.36567,-64.88586,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,39.6,No Ct,N/A,4.8,0,N/A,Detected / Détecté,33,33,N/A,141.3,138.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1875,Field blank,2017-r17D:1875,N/A,N/A,N/A,8/17/2017,SAA,,,500,1.5 µm Glass Fiber,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1876,Sample,2017-r17D:1876,Bouctouche River,Bou2,N/A,8/17/2017,SAA,46.36539,-64.88678,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,40,No Ct,N/A,3.7,0,N/A,Detected / Détecté,35.6,34.1,N/A,25.4,69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,r17D:1877,Sample,2017-r17D:1877,Bouctouche River,Bou2,N/A,8/17/2017,SAA,46.36519,-64.88739,500,1.5 µm Glass Fiber,Inconclusive / Non concluant,No Ct,37.6,N/A,0,17.3,N/A,Detected / Détecté,32,33.4,N/A,257.5,107.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:1719,Sample,2018-r18D:1719,Little River,LR1,N/A,5/30/2018,DFO Gulf,46.020404,-65.023024,1000,0.8 µm Nylon,Detected / Détecté,34.7,34.9,N/A,60.5,52,N/A,Detected / Détecté,27.9,28,N/A,1866.6,1788.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:1720,Sample,2018-r18D:1720,Little River,LR1,N/A,5/30/2018,DFO Gulf,46.020404,-65.023024,1000,0.8 µm Nylon,Detected / Détecté,37.2,35.3,N/A,11.2,40.5,N/A,Detected / Détecté,28,27.9,N/A,1790.5,1836.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:1721,Sample,2018-r18D:1721,Little River,LR1,N/A,5/30/2018,DFO Gulf,46.020404,-65.023024,1000,0.8 µm Nylon,Detected / Détecté,35,34.2,N/A,48.6,83.2,N/A,Detected / Détecté,27.9,27.9,N/A,1834.9,1829.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:1722,Sample,2018-r18D:1722,Little River,LR1,N/A,5/30/2018,DFO Gulf,46.020404,-65.023025,1000,0.8 µm Nylon,Detected / Détecté,35.8,36.3,N/A,28.4,20.3,N/A,Detected / Détecté,28.4,28.7,N/A,1307.5,1109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:1723,Field blank,2018-r18D:1723,N/A,N/A,N/A,5/30/2018,DFO Gulf,,,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:1724,Field blank,2018-r18D:1724,N/A,N/A,N/A,5/31/2018,DFO Gulf,,,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2863,Sample,2018-r18D:2863,Scoudouc River,ScdD,N/A,8/13/2018,SBWA,46.09411,-64.52339,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,31.9,32.9,N/A,138.2,75.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2864,Sample,2018-r18D:2864,Scoudouc River,ScdD,N/A,8/13/2018,SBWA,46.19375,-64.52027,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,29.8,29.8,N/A,553.4,528.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2865,Field blank,2018-r18D:2865,N/A,N/A,N/A,8/13/2018,SBWA,,,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,33.5,34.4,N/A,50.4,27.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2866,Sample,2018-r18D:2866,Scoudouc River,ScdD,N/A,8/14/2018,SBWA,46.23774,-64.68956,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,27.7,27.6,N/A,2077.1,2178.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2867,Sample,2018-r18D:2867,Scoudouc River,ScdD,N/A,8/14/2018,SBWA,46.23552,-64.69047,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,29,28.7,N/A,882.7,1085.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2868,Sample,2018-r18D:2868,Scoudouc River,ScdD,N/A,8/14/2018,SBWA,46.23682,-64.69528,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Detected / Détecté,28.8,28.8,N/A,1021.5,1036.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,r18D:2869,Field blank,2018-r18D:2869,N/A,N/A,N/A,8/14/2018,SBWA,,,1000,0.8 µm Nylon,Not Detected / Non détecté,No Ct,No Ct,N/A,0,0,N/A,Inconclusive / Non concluant,No Ct,34.3,N/A,0,29.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
