sample_id,year,month,day,prov,site,station,latitude,longitude,start_date,end_date,ammonia,do,nitrates,nitrite,phosphate,sal,silicate,water_temp,gravel,mud,rock,sand
10057,2019,8,12,PE / Î-P-É,Dunk River,Baker's Launch 50%,46.369117,-63.755742,2019-08-12 09:45:00-03:00,2019-08-12 10:15:00-03:00,,7.43,,,,25.91,,20.0,0,0,0,0
10056,2019,8,12,PE / Î-P-É,Dunk River,Bayside road 100%,46.383017,-63.762294,2019-08-12 09:15:00-03:00,2019-08-12 09:45:00-03:00,,7.81,,,,24.82,,19.0,0,0,0,0
9835,2019,7,31,PE / Î-P-É,Basin Head,Opposite House,46.385205,-62.116711,2019-07-31 10:45:00-03:00,2019-07-31 11:30:00-03:00,,5.88,,,,27.23,,23.2,25.0,0,0,75.0
9836,2019,7,31,PE / Î-P-É,Basin Head,Shambles,46.387051,-62.114297,2019-07-31 09:48:00-03:00,2019-07-31 10:30:00-03:00,,8.4,,,,23.76,,23.6,0,50.0,0,50.0
9833,2019,7,31,PE / Î-P-É,Basin Head,Small Creek,46.387556,-62.106785,2019-07-31 08:53:00-03:00,2019-07-31 09:30:00-03:00,,7.06,,,,26.36,,21.9,0,80.0,0,20.0
9834,2019,7,31,PE / Î-P-É,Basin Head,Across Lagoon,46.384835,-62.109143,2019-07-31 08:33:00-03:00,2019-07-31 08:50:00-03:00,,7.18,,,,27.07,,21.4,0,25.0,0,75.0
9832,2019,7,31,PE / Î-P-É,Basin Head,Across Slipway,46.382572,-62.110019,2019-07-31 08:05:00-03:00,2019-07-31 08:30:00-03:00,,7.24,,,,27.04,,21.0,0,25.0,0,75.0
9831,2019,7,31,PE / Î-P-É,Basin Head,Slipway,46.383134,-62.11238,2019-07-31 07:40:00-03:00,2019-07-31 08:00:00-03:00,,7.42,,,,26.07,,21.0,0,50.0,0,50.0
9984,2019,7,25,NB / N-B,Eel Ground,Eel Ground,46.9639,-65.62628,2019-07-25 12:00:00-03:00,2019-07-25 13:00:00-03:00,,8.92,,,,3.19,,23.0,20.0,0,40.0,40.0
9982,2019,7,25,NB / N-B,Eel Ground,Strawberry Marsh,46.98624,-65.57426,2019-07-25 11:30:00-03:00,2019-07-25 11:55:00-03:00,,8.05,,,,6.11,,22.6,60.0,0,40.0,0
9985,2019,7,25,NB / N-B,Eel Ground,Wilson Point,46.96419,-65.59513,2019-07-25 10:30:00-03:00,2019-07-25 11:00:00-03:00,,8.34,,,,4.09,,22.7,0,0,30.0,70.0
9986,2019,7,25,NB / N-B,Eel Ground,South Esk,46.95805,-65.62209,2019-07-25 09:30:00-03:00,2019-07-25 10:12:00-03:00,,8.38,,,,3.0,,22.6,30.0,0,40.0,30.0
9983,2019,7,25,NB / N-B,Eel Ground,Anderson's Bridge,46.96733,-65.59996,2019-07-25 00:00:00-03:00,2019-07-25 00:00:00-03:00,,,,,,,,,0,0,0,0
10001,2019,7,24,PE / Î-P-É,Souris,New Zealand rd. (10%),46.374493,-62.292103,2019-07-24 11:30:00-03:00,2019-07-24 12:30:00-03:00,,16.25,,,,24.39,,23.5,10.0,40.0,0,50.0
10000,2019,7,24,PE / Î-P-É,Souris,Cahil Lane 10%,46.379258,-62.289264,2019-07-24 10:00:00-03:00,2019-07-24 10:45:00-03:00,,12.69,,,,2.1,,14.8,0,75.0,0,25.0
10002,2019,7,24,PE / Î-P-É,Souris,Causeway East (50%),46.35652,-62.27541,2019-07-24 09:30:00-03:00,2019-07-24 09:55:00-03:00,,7.82,,,,22.66,,20.2,0,5.0,0,95.0
9999,2019,7,24,PE / Î-P-É,Souris,Paul Gallant 50%,46.35741,-62.27969,2019-07-24 08:30:00-03:00,2019-07-24 09:15:00-03:00,,7.96,,,,23.57,,20.4,0,25.0,0,75.0
9998,2019,7,24,PE / Î-P-É,Souris,Joe Carter 100%,46.35015,-62.2796,2019-07-24 08:00:00-03:00,2019-07-24 08:25:00-03:00,,7.5,,,,24.61,,20.0,0,0,0,100.0
10003,2019,7,24,PE / Î-P-É,Souris,Ferry 100%,46.35102,-62.2504,2019-07-24 07:00:00-03:00,2019-07-24 07:55:00-03:00,,7.51,,,,26.55,,18.7,0,0,0,100.0
9863,2019,7,23,PE / Î-P-É,Brackley/Covehead,MacMillan's Point,46.420833333333334,-63.1658333333333,2019-07-23 12:55:00-03:00,2019-07-23 13:30:00-03:00,,,,,,,,,0,10.0,0,90.0
9862,2019,7,23,PE / Î-P-É,Brackley/Covehead,Mary's,46.416111111111114,-63.1655555555556,2019-07-23 12:30:00-03:00,2019-07-23 12:50:00-03:00,,,,,,,,,0,0,0,0
9861,2019,7,23,PE / Î-P-É,Brackley/Covehead,Osprey Point,46.411944444444444,-63.1836111111111,2019-07-23 11:45:00-03:00,2019-07-23 12:20:00-03:00,,,,,,,,,5.0,5.0,0,90.0
9860,2019,7,23,PE / Î-P-É,Brackley/Covehead,Brewster,46.41694444444445,-63.1908333333333,2019-07-23 11:30:00-03:00,2019-07-23 11:40:00-03:00,,,,,,,,,0,5.0,0,95.0
9859,2019,7,23,PE / Î-P-É,Brackley/Covehead,Marcie's,46.422222222222224,-63.1433333333333,2019-07-23 10:30:00-03:00,2019-07-23 11:25:00-03:00,,,,,,,,,10.0,30.0,0,60.0
9858,2019,7,23,PE / Î-P-É,Brackley/Covehead,Golfe Course,46.41305555555556,-63.1166666666667,2019-07-23 10:15:00-03:00,2019-07-23 10:25:00-03:00,,,,,,,,,5.0,0,0,95.0
9868,2019,7,18,NB / N-B,Cape Jourimain,Annes Acres,46.15355,-63.846567,2019-07-18 13:50:00-03:00,2019-07-18 14:30:00-03:00,,7.46,,,,26.77,,23.5,5.0,0,5.0,90.0
9864,2019,7,18,NB / N-B,Cape Jourimain,Cape Tourmentine,46.13285,-63.784783,2019-07-18 13:10:00-03:00,2019-07-18 13:40:00-03:00,,7.96,,,,27.22,,21.8,5.0,0,0,95.0
9866,2019,7,18,NB / N-B,Cape Jourimain,Interpretive Center,46.160933,-63.8128,2019-07-18 11:40:00-03:00,2019-07-18 12:00:00-03:00,,7.49,,,,27.15,,20.7,30.0,0,10.0,60.0
9867,2019,7,18,NB / N-B,Cape Jourimain,Spencer's Point,46.15749,-63.90953,2019-07-18 11:10:00-03:00,2019-07-18 11:30:00-03:00,,6.92,,,,26.2,,24.0,5.0,5.0,0,90.0
9865,2019,7,18,NB / N-B,Cape Jourimain,End of Wharf Rd,46.16837,-63.936214,2019-07-18 10:50:00-03:00,2019-07-18 11:05:00-03:00,,7.3,,,,26.78,,20.7,0,0,0,0
9887,2019,7,17,NS / N-É,Pugwash,Doherty Creek,45.814,-63.659167,2019-07-17 11:45:00-03:00,2019-07-17 12:10:00-03:00,,7.25,,,,25.5,,22.1,0,90.0,0,10.0
9892,2019,7,17,NS / N-É,Pugwash,Mundle's,45.8738,-63.653333,2019-07-17 11:05:00-03:00,2019-07-17 11:20:00-03:00,,7.67,,,,27.05,,19.6,5.0,0,5.0,90.0
9889,2019,7,17,NS / N-É,Pugwash,Crescent Beach,45.8547,-63.66575,2019-07-17 10:33:00-03:00,2019-07-17 10:50:00-03:00,,7.5,,,,26.02,,20.6,20.0,0,0,80.0
9888,2019,7,17,NS / N-É,Pugwash,Seagull Parking,45.845167000000004,-63.66395,2019-07-17 10:14:00-03:00,2019-07-17 10:30:00-03:00,,7.4,,,,25.7,,21.4,5.0,30.0,0,65.0
9890,2019,7,17,NS / N-É,Pugwash,Brickyard,45.85025,-63.66695,2019-07-17 09:45:00-03:00,2019-07-17 10:05:00-03:00,,7.92,,,,26.56,,20.0,25.0,0,25.0,50.0
9891,2019,7,17,NS / N-É,Pugwash,Pagweak Camp,45.853717,-63.675933,2019-07-17 09:20:00-03:00,2019-07-17 09:35:00-03:00,,7.71,,,,26.64,,19.6,30.0,5.0,30.0,35.0
9897,2019,7,16,NB / N-B,Lameque,Roger Noel,47.782426,-64.641109,2019-07-16 15:00:00-03:00,2019-07-16 15:30:00-03:00,,11.56,,,,23.58,,24.0,30.0,40.0,30.0,0
9895,2019,7,16,NB / N-B,Lameque,Eco Parc,47.799472,-64.65711,2019-07-16 12:30:00-03:00,2019-07-16 14:10:00-03:00,,12.02,,,,23.72,,25.4,15.0,10.0,10.0,65.0
10049,2019,7,16,PE / Î-P-É,Dunk River,Olscamp Lane 100%,46.370926,-63.801073,2019-07-16 12:15:00-03:00,2019-07-16 13:00:00-03:00,,8.85,,,,26.82,,21.2,40.0,0,0,60.0
9894,2019,7,16,NB / N-B,Lameque,Chrysler 67,47.80085,-64.664486,2019-07-16 11:30:00-03:00,2019-07-16 12:25:00-03:00,,,,,,22.7,,23.6,25.0,5.0,20.0,50.0
10048,2019,7,16,PE / Î-P-É,Dunk River,Hurd's Point road 50%,46.349109,-63.762092,2019-07-16 11:30:00-03:00,2019-07-16 12:10:00-03:00,,9.06,,,,25.91,,20.8,50.0,10.0,0,40.0
10047,2019,7,16,PE / Î-P-É,Dunk River,Woodside Shore rd 10%,46.34849,-63.729185,2019-07-16 10:45:00-03:00,2019-07-16 11:25:00-03:00,,9.64,,,,20.24,,21.63,10.0,10.0,0,80.0
9893,2019,7,16,NB / N-B,Lameque,Chemin Duclos,47.785525,-64.684277,2019-07-16 10:30:00-03:00,2019-07-16 11:20:00-03:00,,12.0,,,,24.05,,21.9,0,20.0,0,80.0
10052,2019,7,16,PE / Î-P-É,Dunk River,Staverts Shore 10%,46.357944,-63.731488,2019-07-16 10:00:00-03:00,2019-07-16 10:45:00-03:00,,9.3,,,,21.36,,21.4,70.0,0,0,30.0
10051,2019,7,16,PE / Î-P-É,Dunk River,Baker's Launch 50%,46.369117,-63.755742,2019-07-16 09:30:00-03:00,2019-07-16 09:55:00-03:00,,9.25,,,,25.43,,20.8,20.0,0,0,80.0
10050,2019,7,16,PE / Î-P-É,Dunk River,Bayside road 100%,46.383017,-63.762294,2019-07-16 09:00:00-03:00,2019-07-16 09:25:00-03:00,,8.6,,,,25.72,,19.7,20.0,0,0,80.0
9896,2019,7,16,NB / N-B,Lameque,Irving,47.788011,-64.63752,2019-07-16 02:20:00-03:00,2019-07-16 02:55:00-03:00,,12.64,,,,21.53,,27.8,25.0,0,10.0,65.0
9989,2019,7,15,NS / N-É,Tatamagouche,Hamelton Lane,45.760967,-63.188167,2019-07-15 13:00:00-03:00,2019-07-15 13:30:00-03:00,,8.74,,,,27.44,,19.7,40.0,35.0,15.0,10.0
9857,2019,7,15,NB / N-B,Bouctouche,Route 11,46.462419,-64.726601,2019-07-15 12:25:00-03:00,2019-07-15 13:10:00-03:00,,,,,,,,,15.0,25.0,10.0,50.0
9987,2019,7,15,NS / N-É,Tatamagouche,Cape John,45.79205,-63.103233,2019-07-15 12:15:00-03:00,2019-07-15 12:35:00-03:00,,8.53,,,,26.56,,20.8,40.0,0,40.0,20.0
9988,2019,7,15,NS / N-É,Tatamagouche,Rollie's,45.75675,-63.084417,2019-07-15 11:30:00-03:00,2019-07-15 12:10:00-03:00,,8.35,,,,22.26,,20.1,40.0,30.0,30.0,0
9856,2019,7,15,NB / N-B,Bouctouche,Pub by the bridge,46.471865,-64.719819,2019-07-15 11:19:00-03:00,2019-07-15 12:00:00-03:00,,,,,,,,,25.0,5.0,10.0,60.0
9990,2019,7,15,NS / N-É,Tatamagouche,Tim Horton,45.735417,-63.318383,2019-07-15 11:00:00-03:00,2019-07-15 11:25:00-03:00,,8.25,,,,26.18,,20.7,0,0,100.0,0
9854,2019,7,15,NB / N-B,Bouctouche,Info Center,46.471729,-64.714365,2019-07-15 10:30:00-03:00,2019-07-15 11:15:00-03:00,,,,,,,,,10.0,15.0,0,75.0
9991,2019,7,15,NS / N-É,Tatamagouche,Island Road,45.756033,-63.339,2019-07-15 10:15:00-03:00,2019-07-15 10:55:00-03:00,,,,,,,,,30.0,0,0,70.0
9855,2019,7,15,NB / N-B,Bouctouche,Behind the takeout,46.469231,-64.714104,2019-07-15 09:45:00-03:00,2019-07-15 10:25:00-03:00,,7.28,,,,16.34,,20.0,0,5.0,0,95.0
9992,2019,7,15,NS / N-É,Tatamagouche,Malagash Centre,45.77285,-63.305167,2019-07-15 09:30:00-03:00,2019-07-15 10:10:00-03:00,,8.33,,,,27.89,,17.4,30.0,0,0,70.0
9853,2019,7,15,NB / N-B,Bouctouche,Marina,46.475972,-64.710486,2019-07-15 09:10:00-03:00,2019-07-15 09:40:00-03:00,,6.45,,,,21.15,,20.2,0,10.0,0,90.0
10030,2019,7,11,PE / Î-P-É,Winter River,Sunset Lane 100%,46.380017,-63.00635,2019-07-11 14:15:00-03:00,2019-07-11 15:05:00-03:00,,9.8,,,,24.96,,24.6,50.0,0,0,50.0
10032,2019,7,11,PE / Î-P-É,Winter River,Court's Island road 50%,46.37772,-63.02224,2019-07-11 13:45:00-03:00,2019-07-11 14:05:00-03:00,,16.32,,,,24.21,,27.1,0,0,10.0,90.0
10027,2019,7,11,PE / Î-P-É,Winter River,Pleasant Grove road 10%,46.37803,-63.057578,2019-07-11 12:30:00-03:00,2019-07-11 13:30:00-03:00,,15.25,,,,3.38,,20.7,0,50.0,0,50.0
10028,2019,7,11,PE / Î-P-É,Winter River,Bald Eagle Lane 10%,46.376779,-63.05252,2019-07-11 11:00:00-03:00,2019-07-11 12:15:00-03:00,,17.01,,,,9.6,,19.5,0,60.0,0,40.0
10031,2019,7,11,PE / Î-P-É,Winter River,White Sickle 50%,46.384027,-63.032463,2019-07-11 10:00:00-03:00,2019-07-11 10:55:00-03:00,,11.1,,,,21.18,,21.0,30.0,0,0,70.0
10029,2019,7,11,PE / Î-P-É,Winter River,Queen's Point road 100%,46.390168,-63.004063,2019-07-11 09:15:00-03:00,2019-07-11 09:55:00-03:00,,8.15,,,,26.42,,18.8,0,10.0,0,90.0
10008,2019,7,10,PE / Î-P-É,Wheatley,Kingfisher Lane 10%,46.387872,-63.268845,2019-07-10 13:30:00-03:00,2019-07-10 14:15:00-03:00,,18.15,,,,12.23,,21.5,0,40.0,0,60.0
10009,2019,7,10,PE / Î-P-É,Wheatley,Cameron Lane 10%,46.38974,-63.270994,2019-07-10 12:45:00-03:00,2019-07-10 13:15:00-03:00,,18.36,,,,18.71,,24.9,0,10.0,0,90.0
9851,2019,7,10,NS / N-É,Cheticamp,Fiset Brook,46.598533,-61.022583,2019-07-10 12:00:00-03:00,2019-07-10 12:30:00-03:00,,11.87,,,,19.05,,19.6,25.0,0,25.0,50.0
10011,2019,7,10,PE / Î-P-É,Wheatley,Grand Pere Point road 50%,46.404868,-63.253044,2019-07-10 11:45:00-03:00,2019-07-10 12:35:00-03:00,,12.55,,,,24.44,,22.3,0,20.0,0,80.0
9850,2019,7,10,NS / N-É,Cheticamp,Pointe a Cochon,46.615083,-61.0237,2019-07-10 11:15:00-03:00,2019-07-10 12:00:00-03:00,,9.76,,,,26.95,,19.5,30.0,65.0,5.0,0
10014,2019,7,10,PE / Î-P-É,Wheatley,Grand  Pere Point road 100%,46.411164,-63.245782,2019-07-10 11:00:00-03:00,2019-07-10 11:35:00-03:00,,10.4,,,,24.36,,22.1,0,50.0,0,50.0
9849,2019,7,10,NS / N-É,Cheticamp,Wharf,463734.9,610057.0,2019-07-10 10:30:00-03:00,2019-07-10 11:00:00-03:00,,10.14,,,,26.97,,17.9,40.0,0,40.0,20.0
10013,2019,7,10,PE / Î-P-É,Wheatley,Sunset Drive 100%,46.405922,-63.223712,2019-07-10 09:30:00-03:00,2019-07-10 10:05:00-03:00,,8.14,,,,18.47,,20.9,20.0,0,0,80.0
10010,2019,7,10,PE / Î-P-É,Wheatley,Wharf at the end of Camp road 50%,46.403786,-63.242724,2019-07-10 09:00:00-03:00,2019-07-10 10:20:00-03:00,,11.5,,,,21.34,,17.9,0,40.0,0,60.0
9852,2019,7,10,NS / N-É,Cheticamp,Gretchen Beach,46.619467,-61.026367,2019-07-10 01:00:00-03:00,2019-07-10 01:30:00-03:00,,10.83,,,,26.88,,19.1,20.0,0,60.0,20.0
9846,2019,7,9,NS / N-É,Mabou,MacPhee's Point,46.082867,-61.441933,2019-07-09 12:45:00-03:00,2019-07-09 13:15:00-03:00,,19.06,,,,25.36,,19.6,30.0,10.0,30.0,30.0
9844,2019,7,9,NS / N-É,Mabou,Gillis Cove,46.08585,-61.458805,2019-07-09 12:00:00-03:00,2019-07-09 12:30:00-03:00,,8.32,,,,25.63,,18.3,40.0,20.0,40.0,0
9843,2019,7,9,NS / N-É,Mabou,MacLean's Point,46.07815,-61.455567,2019-07-09 11:30:00-03:00,2019-07-09 12:00:00-03:00,,8.61,,,,24.71,,19.6,0,0,0,0
9845,2019,7,9,NS / N-É,Mabou,Goose Point,46.06671,-61.427544,2019-07-09 10:45:00-03:00,2019-07-09 11:15:00-03:00,,8.08,,,,19.72,,20.7,10.0,10.0,0,80.0
9847,2019,7,9,NS / N-É,Mabou,Murphy's Point,46.07235,-61.413583,2019-07-09 10:15:00-03:00,2019-07-09 10:45:00-03:00,,8.56,,,,20.62,,20.7,10.0,10.0,70.0,10.0
9848,2019,7,9,NS / N-É,Mabou,Priest Point,46.073633,-61.405183,2019-07-09 09:45:00-03:00,2019-07-09 10:15:00-03:00,,8.75,,,,16.36,,19.8,40.0,0,40.0,20.0
10060,2019,7,8,NB / N-B,Cocagne,Cocagne Marina,46.332469,-64.624657,2019-07-08 13:15:00-03:00,2019-07-08 13:45:00-03:00,,8.05,,,,22.88,,22.4,10.0,15.0,5.0,70.0
10061,2019,7,8,NB / N-B,Cocagne,Lighthouse,46.335807,-64.615219,2019-07-08 12:15:00-03:00,2019-07-08 13:00:00-03:00,,8.61,,,,22.61,,21.9,10.0,0,0,90.0
10064,2019,7,8,NB / N-B,Cocagne,Marina Beach Cape,46.35647,-64.573946,2019-07-08 11:15:00-03:00,2019-07-08 12:05:00-03:00,,7.73,,,,23.7,,21.9,10.0,0,0,90.0
10062,2019,7,8,NB / N-B,Cocagne,Gauvin Beach,46.34102,-64.573724,2019-07-08 10:30:00-03:00,2019-07-08 11:10:00-03:00,,8.08,,,,22.48,,21.7,5.0,0,5.0,90.0
10063,2019,7,8,NB / N-B,Cocagne,Chemin Belle-Côte,46.33125,-64.58293,2019-07-08 09:55:00-03:00,2019-07-08 10:20:00-03:00,,8.34,,,,21.77,,21.4,10.0,0,20.0,70.0
10059,2019,7,8,NB / N-B,Cocagne,Breau Road,46.36724,-64.61738,2019-07-08 08:45:00-03:00,2019-07-08 09:40:00-03:00,,9.68,,,,25.27,,21.7,20.0,0,15.0,65.0
10068,2019,7,5,PE / Î-P-É,Malpèque Bay,Beech Point,46.494013,-63.747559001,2019-07-05 14:30:00-03:00,2019-07-05 15:00:00-03:00,,11.79,,,,26.32,,25.8,15.0,0,0,85.0
10069,2019,7,5,PE / Î-P-É,Malpèque Bay,Keirs Shore,46.525798,-63.697348999,2019-07-05 13:50:00-03:00,2019-07-05 14:20:00-03:00,,20.82,,,,25.79,,25.6,0,25.0,0,75.0
10070,2019,7,5,PE / Î-P-É,Malpèque Bay,Montgomery Road,46.559339432,-63.711283524,2019-07-05 13:10:00-03:00,2019-07-05 13:35:00-03:00,,9.66,,,,26.41,,24.3,5.0,0,0,95.0
10067,2019,7,5,PE / Î-P-É,Malpèque Bay,Belmont Park,46.5153,-63.8311,2019-07-05 10:30:00-03:00,2019-07-05 11:15:00-03:00,,9.21,,,,26.96,,20.0,5.0,0,0,95.0
10066,2019,7,5,PE / Î-P-É,Malpèque Bay,Old Ferry Road,46.512100991,-63.888895787,2019-07-05 09:45:00-03:00,2019-07-05 10:15:00-03:00,,7.86,,,,26.38,,20.0,0,10.0,0,90.0
10065,2019,7,5,PE / Î-P-É,Malpèque Bay,Ramsay Farm,46.5862,-63.852168,2019-07-05 09:00:00-03:00,2019-07-05 09:30:00-03:00,,6.69,,,,26.0,,20.0,0,0,0,100.0
9944,2019,7,4,PE / Î-P-É,Mill River,Long Creek,46.763,-64.146667,2019-07-04 14:00:00-03:00,2019-07-04 14:45:00-03:00,,10.44,,,,18.7,,23.5,0,5.0,0,95.0
9943,2019,7,4,PE / Î-P-É,Mill River,Meggison Creek,46.773778,-64.126831,2019-07-04 13:15:00-03:00,2019-07-04 13:55:00-03:00,,9.81,,,,15.57,,23.7,5.0,5.0,0,90.0
9942,2019,7,4,PE / Î-P-É,Mill River,Boat Launch,46.780395,-64.112115,2019-07-04 12:30:00-03:00,2019-07-04 13:10:00-03:00,,9.81,,,,15.85,,22.9,50.0,5.0,5.0,40.0
9941,2019,7,4,PE / Î-P-É,Mill River,Waterview Rd.,46.760927,-64.12676,2019-07-04 11:00:00-03:00,2019-07-04 11:45:00-03:00,,9.19,,,,13.59,,21.1,15.0,0,15.0,70.0
9940,2019,7,4,PE / Î-P-É,Mill River,Al Peter's,46.758934,-64.141007,2019-07-04 10:15:00-03:00,2019-07-04 10:50:00-03:00,,10.69,,,,15.57,,18.9,0,0,0,100.0
9939,2019,7,4,PE / Î-P-É,Mill River,Resort,46.749806,-64.151997,2019-07-04 10:00:00-03:00,2019-07-04 10:05:00-03:00,,,,,,,,,0,0,0,0
