"year_année","biomass.median_biomasse.médiane","biomass.025_biomasse.025","biomass.25_biomasse.25","biomass.75_biomasse.75","biomass.975_biomasse.975"
1961,56.3742281021433,30.3172880251793,45.6363987820516,69.9733207049247,106.742318862022
1962,52.1063624869542,27.4620185987339,41.8873266652469,65.1875580909975,101.750406015058
1963,48.3096724983657,24.150187582137,38.3343054208541,60.3368892187878,96.6402578624197
1964,45.5504536492581,23.3415363201784,36.4031150413797,57.3313017211039,92.9325014206327
1965,43.283536557857,21.5658477058465,34.4081459750321,54.5636966294151,91.5987356297438
1966,40.5424919487218,20.6323316726805,32.6062031711958,51.584590899375,84.640636685729
1967,39.4510278190202,20.7069034946756,31.4483911518243,49.6098026125386,78.8799892080379
1968,37.4462713700938,20.0662613312769,30.2154686514241,46.5381055395957,75.1875975151582
1969,35.0536964783737,19.272657653822,28.5754580567506,43.1583222197972,66.6942718008965
1970,31.450405532666,17.8194537401774,25.8215281345236,38.4349864586144,55.8628853124975
1971,28.6147042611983,16.2075176243356,23.5819935489356,34.3082952253513,47.7343979851597
1972,27.7361142602038,16.0728720740113,23.0134493739875,33.1161998449755,45.4396043212096
1973,28.3584335934589,16.8387574323703,23.7587986854523,33.6215850699499,45.8099922134441
1974,28.2653911615832,17.2804301497401,23.9688839975662,33.3038925048518,45.7028096411463
1975,29.7021875487289,18.8857329559374,25.4179315474637,34.7252850494718,47.6288971192013
1976,26.348881370188,15.7343501059735,21.9417158366839,31.7864207123509,45.3252560083315
1977,26.4792726046454,16.2292184683787,21.9493189933261,31.8641635262361,45.6282845102808
1978,21.8332995608594,13.1407582858804,18.2208618643017,26.3992297985498,36.6514926564049
1979,18.9902604241772,11.2159017743606,15.5614658271373,23.0515220053949,32.8964996113199
1980,15.1887212305235,8.67022768513555,12.3785162044973,18.5878043835534,26.6215982380502
1981,13.3617968461024,7.51687890659361,10.9194990977031,16.040293142495,22.6226565511169
1982,12.1208702230921,6.80337352776557,9.95992531481202,14.757556901017,20.2988341275862
1983,11.682372432936,6.50916613234156,9.56563235347673,14.1869365893936,19.276175199487
1984,12.1960328962456,6.97858662243138,10.2150774726291,14.5267070473983,19.9024034495038
1985,13.3046197483607,7.9416450272209,11.2667730083951,15.70363494681,21.2433058208905
1986,15.1762268677279,9.36886746328962,12.804092652867,18.1041145162877,24.5297604266344
1987,15.6232334019966,9.73607621257058,13.1326988803515,18.4291566232235,25.2111129297826
1988,15.2618820581402,9.11633205513803,12.6966631204479,18.2593721912366,25.2177263430459
1989,13.6213608186264,7.8514617118662,11.2596162678494,16.4323947123454,23.0574554196178
1990,11.8974927929093,6.79407386035952,9.85484315097304,14.1841996357039,20.2465491374965
1991,9.41605557611381,5.53911063637638,7.86486935265431,11.2105251063306,15.4346108558909
1992,7.04915311529634,4.11098768143322,5.88779060227206,8.34851748217956,11.5116271171896
1993,5.70798424534899,3.13608294312042,4.63548080636979,6.89115365218654,9.75913871765517
1994,5.91432802542904,3.28445915696167,4.83229411051734,7.17075733601761,9.90958845058567
1995,6.00803760655876,3.42845115013525,4.97444265160443,7.23643880053082,10.1996424146543
1996,6.40474491556693,3.69976878192344,5.30934952071649,7.71327518276045,10.7298435022386
1997,6.56824305226809,3.85267955915389,5.45722571285507,7.87855562262164,10.9975344278416
1998,7.30148386008186,4.35843074925766,6.04834843859766,8.72048529497817,12.1011319185283
1999,8.25534467744537,4.94194510862356,6.81149814552434,9.96289974771163,14.1796960475793
2000,8.42920269210515,4.97561523030197,6.99960359648464,10.378775443339,14.9548595614004
2001,8.36389460069153,4.90398718355551,6.94274274375413,10.0769490944417,14.1970675744071
2002,8.14044876144094,4.77166467542296,6.74689067817136,9.8534275106783,13.8456460259502
2003,7.84563981200229,4.76248301516611,6.62267667427349,9.40778528084799,12.9952690424161
2004,7.78954985821592,4.66704250266462,6.5073991070224,9.2310882471196,12.7056728944609
2005,7.8767988906047,4.67618222429185,6.56690384084265,9.47226239162339,13.2560516963833
2006,7.50942144698776,4.34932991787929,6.20820353256597,9.07063217352516,12.8893343668213
2007,6.71659891856259,3.89124429287528,5.60224373291452,8.05718650200127,11.1403282163294
2008,6.59693965344003,3.77836340997125,5.41383317676802,7.89581374720317,10.9523829783933
2009,6.26019071521934,3.59262844721127,5.19201956690098,7.5730365925564,10.4624408725399
2010,6.7573008635189,3.91484745027956,5.59367895050327,8.08602048164279,11.2138097379812
2011,7.16390424072484,4.2316536709346,5.94172718545985,8.56429969870251,11.9053798712418
2012,8.78345707893498,5.04071376887642,7.29854483371808,10.5351524725359,14.6653348174983
2013,9.65559582026037,5.53372201812214,7.97726189603591,11.638892745541,16.002573948416
2014,11.3294803160603,6.56323334008015,9.37514184420858,13.611702812139,18.7187314018308
2015,12.3373694937463,7.23033666288936,10.1585965276927,14.8318406204146,20.5158878853363
2016,13.4266864762554,7.8076838829607,11.1251309112677,16.1054424838739,22.4684678719681
2017,14.6477487952113,8.61739494739792,12.1367072499388,17.5460006388203,24.5055958418584
2018,14.3336333747806,8.42257665373779,11.9756355828511,17.2453659150903,23.8944303437697
2019,15.5782882474293,9.13001696179774,12.9978509445101,18.8263871854302,26.4124938510917
2020,16.8729859659633,9.51882816032846,13.9103599947784,20.6521604945192,29.4166694099982
2021,17.7676606600429,9.75798949271648,14.5041413889923,21.8993786931689,32.056681000607
