site,date,temp
Kouchibouguac,9.26,18.1119165
Kouchibouguac,9.26,18.22989258
Kouchibouguac,9.26,18.30496826
Kouchibouguac,9.26,18.36931885
Kouchibouguac,9.26,18.36931885
Kouchibouguac,9.26,18.605271
Kouchibouguac,9.26,18.68034668
Kouchibouguac,9.26,18.68034668
Kouchibouguac,9.26,18.62672119
Kouchibouguac,9.26,18.69107178
Kouchibouguac,9.26,18.90557373
Kouchibouguac,9.26,19.0557251
Kouchibouguac,9.26,18.02611572
Kouchibouguac,9.26,17.11448242
Kouchibouguac,9.26,16.87853027
Kouchibouguac,9.26,16.58895264
Kouchibouguac,9.26,16.61040283
Kouchibouguac,9.26,16.48170166
Kouchibouguac,9.26,16.43880127
Kouchibouguac,9.26,16.54605225
Kouchibouguac,9.26,16.59967773
Kouchibouguac,9.26,16.61040283
Kouchibouguac,9.26,16.59967773
Kouchibouguac,9.26,16.63185303
Kouchibouguac,9.26,16.72837891
Kouchibouguac,9.26,16.87853027
Kouchibouguac,9.26,16.88925537
Kouchibouguac,9.26,16.78200439
Kouchibouguac,9.26,16.83562988
Kouchibouguac,9.26,16.7712793
Kouchibouguac,9.26,16.72837891
Kouchibouguac,9.26,16.63185303
Kouchibouguac,9.26,16.67475342
Kouchibouguac,9.26,16.7498291
Kouchibouguac,9.26,16.70692871
Kouchibouguac,9.26,16.63185303
Kouchibouguac,9.26,16.61040283
Kouchibouguac,9.26,16.62112793
Kouchibouguac,9.26,16.59967773
Kouchibouguac,9.26,16.58895264
Kouchibouguac,9.26,16.61040283
Kouchibouguac,9.26,16.54605225
Kouchibouguac,9.26,16.52460205
Kouchibouguac,9.26,16.44952637
Kouchibouguac,9.26,16.38517578
Kouchibouguac,9.26,16.299375
Kouchibouguac,9.26,16.26719971
Kouchibouguac,9.26,16.21357422
Kouchibouguac,9.26,16.17067383
Kouchibouguac,9.26,16.13849854
Kouchibouguac,9.26,16.06342285
Kouchibouguac,9.26,15.99907227
Kouchibouguac,9.26,15.98834717
Kouchibouguac,9.26,16.00979736
Kouchibouguac,9.26,16.02052246
Kouchibouguac,9.26,16.08487305
Kouchibouguac,9.26,16.04197266
Kouchibouguac,9.26,16.08487305
Kouchibouguac,9.26,16.12777344
Kouchibouguac,9.26,16.08487305
Kouchibouguac,9.26,16.08487305
Kouchibouguac,9.26,16.14922363
Kouchibouguac,9.26,16.04197266
Kouchibouguac,9.26,15.859646
Kouchibouguac,9.26,15.8274707
Kouchibouguac,9.26,15.8274707
Kouchibouguac,9.26,15.80602051
Kouchibouguac,9.26,15.78457031
Kouchibouguac,9.26,15.77384521
