"name_nom","description_fr","description_en"
"source","Source des otolithes, peut soit provenir du relevé par navire de recherche dans la division 4T de l'OPANO (Research Vessel (RV-4T)), du relevé par navire de recherche dans les divisions 4RS de l'OPANO (Research Vessel (RV-4RS))  ou d'échantillonnage des pêches commerciales (Commercial)","Source of otoliths, can be either from the NAFO 4T Research Vessel (RV-4T) survey, the NAFO divisions 4RS Research Vessel (RV-4RS) survey or from commercial sampling (Commercial)"
"latin.name_nom.latin","Nom latin de l'espèce","Latin name of the species"
"english.name_nom.anglais","Nom anglais de l'espèce","English name of the species"
"french.name_nom.français","Nom français de l'espèce","French name of the species"
"year_année","Année d'échantillonnage des otolithes","Year when otoliths were collected"
"month_mois","Mois d'échantillonnage des otolithes","Month when otolith were collected"
"number.otoliths_nombre.otolithes","Nombre d'otolithes dans la collection","Number of otoliths in collection"
