Specimen.ID__ID.spécimen,Sample.ID__ID.échantillon,Site__Site,Year__Année,Month__Mois,Day__Jour,Species__Espèces,Life.stage__Stade.vie,Code__Code,Adipose.condition__Condition.adipeuse,Tag.number__Numéro.d'étiquette
2735137,35644,All Pools / Tous les bassins @ Margaree River,1989,6,11,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735138,48475,All Pools / Tous les bassins @ Margaree River,1989,6,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735139,35400,All Pools / Tous les bassins @ Margaree River,1989,6,16,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735140,35400,All Pools / Tous les bassins @ Margaree River,1989,6,16,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735141,35075,All Pools / Tous les bassins @ Margaree River,1989,9,25,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735142,35061,All Pools / Tous les bassins @ Margaree River,1989,9,26,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735143,48617,All Pools / Tous les bassins @ Margaree River,1989,9,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735144,36936,All Pools / Tous les bassins @ Margaree River,1989,10,4,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735145,48711,All Pools / Tous les bassins @ Margaree River,1989,10,12,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735146,34492,All Pools / Tous les bassins @ Margaree River,1989,10,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735147,48365,All Pools / Tous les bassins @ Margaree River,1989,7,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735148,48670,All Pools / Tous les bassins @ Margaree River,1989,9,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735149,33685,All Pools / Tous les bassins @ Margaree River,1989,9,30,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735150,33685,All Pools / Tous les bassins @ Margaree River,1989,9,30,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735151,33685,All Pools / Tous les bassins @ Margaree River,1989,9,30,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735152,48717,All Pools / Tous les bassins @ Margaree River,1989,10,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735153,36928,All Pools / Tous les bassins @ Margaree River,1989,10,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735154,37050,All Pools / Tous les bassins @ Margaree River,1989,10,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735155,37050,All Pools / Tous les bassins @ Margaree River,1989,10,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735156,48712,All Pools / Tous les bassins @ Margaree River,1989,10,12,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735157,48732,All Pools / Tous les bassins @ Margaree River,1989,10,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735158,33787,All Pools / Tous les bassins @ Margaree River,1990,10,3,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735159,33647,All Pools / Tous les bassins @ Margaree River,1990,10,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735160,47782,All Pools / Tous les bassins @ Margaree River,1990,8,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735161,47769,All Pools / Tous les bassins @ Margaree River,1990,8,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735162,47776,All Pools / Tous les bassins @ Margaree River,1990,8,16,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735163,36734,All Pools / Tous les bassins @ Margaree River,1990,10,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735164,34535,All Pools / Tous les bassins @ Margaree River,1990,8,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735165,47807,All Pools / Tous les bassins @ Margaree River,1990,8,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735166,34497,All Pools / Tous les bassins @ Margaree River,1990,8,9,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735167,34497,All Pools / Tous les bassins @ Margaree River,1990,8,9,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735168,48677,All Pools / Tous les bassins @ Margaree River,1990,6,11,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735169,48152,All Pools / Tous les bassins @ Margaree River,1990,10,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735170,36816,All Pools / Tous les bassins @ Margaree River,1990,9,29,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735171,48039,All Pools / Tous les bassins @ Margaree River,1990,10,3,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735172,36869,All Pools / Tous les bassins @ Margaree River,1990,10,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735173,36518,All Pools / Tous les bassins @ Margaree River,1990,8,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735174,36791,All Pools / Tous les bassins @ Margaree River,1990,10,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735175,36791,All Pools / Tous les bassins @ Margaree River,1990,10,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735176,36792,All Pools / Tous les bassins @ Margaree River,1990,10,22,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
