Latitude,Longitude,Site de l'échantillon,ID de l'échantillon,Année,Date de l'événement,Enregistré par,Statut de l'événement,Couleur (cartographie)
46.45406,-66.42301,Site 24,"r19D:2036, r20:2537, r20:2539, r20:2538, r21:3216, r21:3213, r21:3215","2019, 2020, 2021","2019-09-12, 2020-09-02, 2021-07-28",DFO Gulf,Non détecté,green
46.58557,-66.70119,Site 19,r19D:2054,2019,2019-09-12,DFO Gulf,Non détecté,green
46.50809,-66.94965,Site 5,r19D:2033,2019,2019-09-12,DFO Gulf,Suspecté,orange
46.4541,-66.42307,Site 24,r19D:2035,2019,2019-09-12,DFO Gulf,Non détecté,green
46.53652,-66.87909,Site 13,"r19D:2018, r19D:2019",2019,2019-09-12,DFO Gulf,Non détecté,green
46.53503,-66.88127,Site 13,"r19D:2020, r20:2206, r20:2204, r20:2205, r20:2640, r20:2639, r20:2638, r22:2347, r22:2346, r22:2345","2019, 2020, 2022","2019-09-12, 2020-08-26, 2020-09-10, 2022-07-19",DFO Gulf,Suspecté,orange
46.53508,-66.88129,Site 13,r19D:2021,2019,2019-09-12,DFO Gulf,Non détecté,green
46.51914,-66.92581,Site 11,"r19D:2022, r19D:2026",2019,2019-09-12,DFO Gulf,Non concluant,grey
46.51838,-66.92639,Site 11,"r19D:2024, r19D:2023, r20:2644, r20:2642, r20:2641","2019, 2020","2019-09-12, 2020-09-10",DFO Gulf,Suspecté,orange
46.5172,-66.94911,Site 8,"r19D:2027, r19D:2025, r20:2654, r20:2655, r20:2653","2019, 2020","2019-09-12, 2020-09-10",DFO Gulf,Suspecté,orange
46.51639,-66.9497,Site 8,r19D:2028,2019,2019-09-12,DFO Gulf,Suspecté,orange
46.50753,-66.94977,Site 5,"r19D:2029, r19D:2032, r20:2507, r20:2441, r20:2440, r20:2187, r20:2188, r20:2189, r20:2526, r20:2527, r20:2525, r20:2660, r20:2661, r20:2663, r21:2849, r21:2848, r21:2847, r21:2938, r21:2936, r21:2937, r21:3083, r21:3084, r21:3085, r22:2351, r22:2352, r22:2350, r22:2378, r22:2379, r22:2377, r22:2398, r22:2376, r22:2399, r22:2400","2019, 2020, 2021, 2022","2019-09-12, 2020-08-20, 2020-08-26, 2020-09-01, 2020-09-10, 2021-06-22, 2021-07-07, 2021-07-19, 2022-07-19, 2022-07-20","DFO Gulf, ARM",Détecté,red
46.55011,-67.04399,Site 25,"r19D:2030, r19D:2031, r20:2398, r20:2399, r21:2840, r21:2841, r21:2839, r22:2332, r22:2333, r22:2334","2019, 2020, 2021, 2022","2019-09-12, 2020-08-19, 2021-06-22, 2022-07-19","DFO Gulf, ARM",Non détecté,green
46.50642,-66.95071,Site 5,"r19D:2246, r19D:2247, r19D:2245",2019,2019-10-03,DFO Gulf,Non détecté,green
46.57803,-67.04152,Site 26,"r19D:2248, r19D:2243, r19D:2244, r19D:2320, r19D:2321, r19D:2323",2019,"2019-10-03, 2019-10-10",DFO Gulf,Non détecté,green
46.53499,-66.88155,Site 13,r19D:2242,2019,2019-10-03,DFO Gulf,Non détecté,green
46.53477,-66.88146,Site 13,r19D:2241,2019,2019-10-03,DFO Gulf,Non concluant,grey
46.53456,-66.88125,Site 13,r19D:2240,2019,2019-10-03,DFO Gulf,Non détecté,green
46.52954,-66.90152,Site 12,"r19D:2335, r19D:2338, r19D:2337",2019,2019-10-10,DFO Gulf,Non détecté,green
46.49828,-67.0485,Site 29,"r19D:2336, r19D:2347, r19D:2333, r20:2406, r20:2407, r20:2408, r21:2942, r21:2941, r21:2940, r21:3078, r21:3076, r21:3077, r22:2386, r22:2385, r22:2392, r22:2391, r22:2394, r22:2370, r22:2369, r22:2371","2019, 2020, 2021, 2022","2019-10-10, 2020-08-19, 2021-07-07, 2021-07-19, 2022-07-20","DFO Gulf, ARM",Non concluant,grey
46.50754,-66.94977,Site 5,"r19D:2348, r19D:2340, r19D:2316",2019,2019-10-10,DFO Gulf,Non détecté,green
46.58102,-66.75007,Site 18,"r19D:2339, r19D:2343, r20:2514, r20:2515, r20:2513, r21:3064, r21:3066, r21:3065, r22:2354, r22:2355, r22:2356","2019, 2020, 2021, 2022","2019-10-10, 2020-09-01, 2021-07-19, 2022-07-20",DFO Gulf,Suspecté,orange
46.56257,-66.832,Site 16,"r19D:2342, r19D:2345, r19D:2341, r20:2202, r20:2198, r20:2203, r21:2926, r21:2925, r21:2924, r22:2335, r22:2337, r22:2338","2019, 2020, 2021, 2022","2019-10-10, 2020-08-26, 2021-07-07, 2022-07-19",DFO Gulf,Non concluant,grey
46.58142,-66.7502,Site 18,r19D:2346,2019,2019-10-10,DFO Gulf,Non détecté,green
46.5737,-66.81342,Site 17,"r19D:2332, r19D:2329, r19D:2330, r20:2517, r20:2516, r20:2519, r21:3073, r21:3074, r21:3072, r22:2381, r22:2382, r22:2383, r22:2388, r22:2390, r22:2389, r22:2360, r22:2361, r22:2362","2019, 2020, 2021, 2022","2019-10-10, 2020-09-01, 2021-07-19, 2022-07-20",DFO Gulf,Suspecté,orange
46.60062,-66.9858,Site 27,"r19D:2317, r19D:2318, r19D:2319, r20:2404","2019, 2020","2019-10-10, 2020-08-19","DFO Gulf, ARM",Non concluant,grey
46.55547,-66.84771,Site 15,"r19D:2324, r19D:2325, r19D:2322, r20:2194, r20:2196, r20:2200, r21:2930, r21:2929, r21:2928, r22:2341, r22:2339, r22:2340","2019, 2020, 2021, 2022","2019-10-10, 2020-08-26, 2021-07-07, 2022-07-19",DFO Gulf,Non concluant,grey
46.54391,-66.85485,Site 14,"r19D:2326, r19D:2327, r19D:2328, r20:2190, r20:2191, r20:2193, r21:2933, r21:2932, r21:2934, r22:2342, r22:2344, r22:2343","2019, 2020, 2021, 2022","2019-10-10, 2020-08-26, 2021-07-07, 2022-07-19",DFO Gulf,Non concluant,grey
46.51984,-67.14979,Site 32,"r20:2417, r20:2419, r20:2420",2020,2020-08-19,ARM,Non détecté,green
46.51054,-67.1137,Site 31,"r20:2416, r20:2415, r20:2414",2020,2020-08-19,ARM,Non détecté,green
46.51033,-67.08379,Site 30,"r20:2410, r20:2412, r20:2411",2020,2020-08-19,ARM,Non détecté,green
46.49801,-66.98654,Site 33,"r20:2424, r20:2425",2020,2020-08-20,ARM,Non concluant,grey
46.49565,-66.95817,Site 3,"r20:2433, r20:2432, r20:2434",2020,2020-08-20,ARM,Non concluant,grey
46.51053,-67.1137,Site 31,"r20:2216, r20:2214, r20:2217, r20:2531, r20:2530, r20:2529, r21:2945, r21:2944, r21:2946, r22:2364, r22:2365, r22:2367, r22:2368","2020, 2021, 2022","2020-08-26, 2020-09-01, 2021-07-07, 2022-07-20",DFO Gulf,Non détecté,green
46.52128,-67.33706,Site 51,"r20:2213, r20:2211, r20:2212",2020,2020-08-26,DFO Gulf,Non détecté,green
46.52097,-67.33674,Site 50,"r20:2210, r20:2207, r20:2209",2020,2020-08-26,DFO Gulf,Non détecté,green
46.73844,-65.82952,Site 40,"r20:2636, r20:2601, r20:2635, r20:2836, r20:2837, r20:2835, r21:3115, r21:3117, r21:3116, r22:2310, r22:2311, r22:2312","2020, 2021, 2022","2020-09-02, 2020-09-21, 2021-07-20, 2022-07-15",DFO Gulf,Non détecté,green
46.56064,-66.1221,Site 37,"r20:2591, r20:2592, r20:2593, r20:2828, r20:2829, r20:2831, r21:3256, r21:3259, r21:3257, r21:3258, r22:2293, r22:2294, r22:2295","2020, 2021, 2022","2020-09-02, 2020-09-21, 2021-07-28, 2022-07-15",DFO Gulf,Suspecté,orange
46.61789,-65.87861,Site 38,"r20:2594, r20:2595, r20:2596, r21:3099, r21:3100, r21:3101","2020, 2021","2020-09-02, 2021-07-20",DFO Gulf,Non détecté,green
46.73431,-65.82416,Site 39,"r20:2597, r20:2598, r20:2600, r20:2832, r20:2833, r20:2834, r21:3111, r21:3112, r21:3113, r22:2307, r22:2308, r22:2309","2020, 2021, 2022","2020-09-02, 2020-09-21, 2021-07-20, 2022-07-15",DFO Gulf,Non concluant,grey
46.87695,-65.66472,Site 48,"r20:3001, r20:3002",2020,2020-09-21,DFO Gulf,Non détecté,green
46.80176,-65.45304,Site 45,"r20:3000, r20:2999, r20:2862, r21:3205, r21:3206, r21:3207","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.88523,-65.51533,Site 47,"r20:2856, r20:2855, r20:2854, r21:3192, r21:3196, r21:3194","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.859,-65.44416,Site 46,"r20:2859, r20:2857, r20:2860, r21:3201, r21:3202, r21:3203","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.87626,-65.66438,Site 48,"r20:3003, r20:3004",2020,2020-09-21,DFO Gulf,Non détecté,green
46.93532,-65.78738,Site 49,"r20:3009, r20:3008",2020,2020-09-21,DFO Gulf,Non détecté,green
46.87562,-65.66363,Site 48,"r20:3005, r20:3007",2020,2020-09-21,DFO Gulf,Non détecté,green
46.9345,-65.78671,Site 49,"r20:3010, r20:3011",2020,2020-09-21,DFO Gulf,Non détecté,green
46.93371,-65.78579,Site 49,"r20:3013, r20:3014",2020,2020-09-21,DFO Gulf,Non détecté,green
46.82956,-65.78744,Site 44,"r20:2852, r20:2851, r20:2853, r21:3181, r21:3183, r21:3184","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.81429,-65.91673,Site 42,"r20:2838, r20:2841, r20:2840, r21:3175, r21:3176, r21:3174","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.81524,-65.79379,Site 43,"r20:2848, r20:2847, r20:2850, r21:3178, r21:3177, r21:3179","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.82914,-65.95141,Site 41,"r20:2843, r20:2842, r20:2844, r21:3172, r21:3171, r21:3170","2020, 2021","2020-09-21, 2021-07-20",DFO Gulf,Non détecté,green
46.5957,-66.97599,Site 53,"r21:2836, r21:2837, r21:2835",2021,2021-06-22,DFO Gulf,Non détecté,green
46.58815,-66.97387,Site 52,"r21:2828, r21:2829, r21:2827",2021,2021-06-22,DFO Gulf,Non détecté,green
46.60005,-66.98332,Site 27A,"r21:2831, r21:2832, r21:2833",2021,2021-06-22,DFO Gulf,Non détecté,green
