L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,97.000,fork
2021,15,Nova Scotia,46.290476,-61.031735,Big Brook,SFA18,,16.100,Brown trout,truite brune,Salmo trutta,161997,77,58.640,fork
2021,15,New Brunswick,47.694217,-66.742450,Upsalquitch River,SFA15,DAPWI,17.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,39,63.923,fork
2021,15,New Brunswick,47.694217,-66.742450,Upsalquitch River,SFA15,DAPWI,17.500,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,17.000,fork
2021,153,New Brunswick,47.090000,-66.320000,South Branch Big Sevogle River,SFA16,DAIKJ,,Atlantic salmon,saumon atlantique,Salmo salar,161996,13,92.538,fork
2021,16,New Brunswick,47.653850,-66.728767,Northwest Upsalquitch River,SFA15,DAYFA,19.000,Atlantic salmon,saumon atlantique,Salmo salar,161996,37,74.270,fork
2021,16,New Brunswick,47.653850,-66.728767,Northwest Upsalquitch River,SFA15,DAYFA,19.000,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,41,,fork
2021,16,New Brunswick,47.653850,-66.728767,Northwest Upsalquitch River,SFA15,DAYFA,19.000,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,69.000,fork
2021,17,New Brunswick,47.608683,-66.799250,Northwest Upsalquitch River,SFA15,DAYFA,17.700,Atlantic salmon,saumon atlantique,Salmo salar,161996,44,56.886,fork
2021,17,New Brunswick,47.608683,-66.799250,Northwest Upsalquitch River,SFA15,DAYFA,17.700,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,11,56.455,fork
2021,17,New Brunswick,47.608683,-66.799250,Northwest Upsalquitch River,SFA15,DAYFA,17.700,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,68.000,fork
2021,18,New Brunswick,47.610933,-66.805783,Northwest Upsalquitch River,SFA15,DAYFA,19.500,Atlantic salmon,saumon atlantique,Salmo salar,161996,17,53.294,fork
2021,18,New Brunswick,47.610933,-66.805783,Northwest Upsalquitch River,SFA15,DAYFA,19.500,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,1,64.000,fork
2021,18,New Brunswick,47.610933,-66.805783,Northwest Upsalquitch River,SFA15,DAYFA,19.500,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,71.000,fork
2021,186,New Brunswick,46.820000,-66.650000,Dungarvon River,SFA16,DALFL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,12,77.333,fork
2021,186,New Brunswick,46.820000,-66.650000,Dungarvon River,SFA16,DALFL,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,4,58.500,fork
2021,186,New Brunswick,46.820000,-66.650000,Dungarvon River,SFA16,DALFL,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,50.000,fork
2021,190,New Brunswick,47.065000,-65.852000,Big Sevogle River,SFA16,DAQLQ,,Atlantic salmon,saumon atlantique,Salmo salar,161996,13,52.538,fork
2021,190,New Brunswick,47.065000,-65.852000,Big Sevogle River,SFA16,DAQLQ,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,9,46.333,fork
2021,190,New Brunswick,47.065000,-65.852000,Big Sevogle River,SFA16,DAQLQ,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,34.000,fork
2021,2,Nova Scotia,46.383500,-61.037325,Gallant River,SFA18,,15.900,Atlantic salmon,saumon atlantique,Salmo salar,161996,24,73.417,fork
2021,2,Nova Scotia,46.383500,-61.037325,Gallant River,SFA18,,15.900,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,146.000,fork
2021,2,New Brunswick,47.972750,-66.938333,Restigouche River,SFA15,DACGO,17.900,Atlantic salmon,saumon atlantique,Salmo salar,161996,32,55.125,fork
2021,2,New Brunswick,47.972750,-66.938333,Restigouche River,SFA15,DACGO,17.900,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,4,34.500,fork
2021,2,New Brunswick,47.972750,-66.938333,Restigouche River,SFA15,DACGO,17.900,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,2,35.000,fork
2021,20,New Brunswick,47.190000,-65.910000,Little River,SFA16,DAQFK,,Atlantic salmon,saumon atlantique,Salmo salar,161996,45,76.556,fork
2021,20,New Brunswick,47.190000,-65.910000,Little River,SFA16,DAQFK,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,23,30.217,fork
2021,20,New Brunswick,47.190000,-65.910000,Little River,SFA16,DAQFK,,Lake chub,méné de lac,Couesius plumbeus,163535,3,86.333,fork
2021,206,New Brunswick,46.562000,-67.290000,Salmon Brook,SFA16,DAYRT,,Atlantic salmon,saumon atlantique,Salmo salar,161996,54,58.660,fork
2021,206,New Brunswick,46.562000,-67.290000,Salmon Brook,SFA16,DAYRT,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,29,42.759,fork
2021,206,New Brunswick,46.562000,-67.290000,Salmon Brook,SFA16,DAYRT,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,1,68.000,fork
2021,206,New Brunswick,46.562000,-67.290000,Salmon Brook,SFA16,DAYRT,,Lake chub,méné de lac,Couesius plumbeus,163535,3,31.667,fork
2021,206,New Brunswick,46.562000,-67.290000,Salmon Brook,SFA16,DAYRT,,Mottled sculpin,chabot tacheté,Cottus bairdii,167237,12,47.250,fork
2021,21,New Brunswick,47.613333,-67.042550,Northwest Upsalquitch River,SFA15,DAYFA,19.800,Atlantic salmon,saumon atlantique,Salmo salar,161996,20,70.550,fork
2021,21,New Brunswick,47.613333,-67.042550,Northwest Upsalquitch River,SFA15,DAYFA,19.800,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,2,64.500,fork
2021,210,New Brunswick,46.701000,-66.484000,Dungarvon River,SFA16,DALFL,,Atlantic salmon,saumon atlantique,Salmo salar,161996,27,58.667,fork
2021,210,New Brunswick,46.701000,-66.484000,Dungarvon River,SFA16,DALFL,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,6,44.833,fork
2021,212,New Brunswick,46.319000,-66.289000,Cains River,SFA16,DAYOM,,Atlantic salmon,saumon atlantique,Salmo salar,161996,1,58.000,fork
2021,212,New Brunswick,46.319000,-66.289000,Cains River,SFA16,DAYOM,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,8,57.875,fork
2021,212,New Brunswick,46.319000,-66.289000,Cains River,SFA16,DAYOM,,Lake chub,méné de lac,Couesius plumbeus,163535,1,67.000,fork
2021,214,New Brunswick,46.791350,-66.477000,Renous River,SFA16,DAXAN,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,14,44.857,fork
2021,215,New Brunswick,47.135170,-65.836670,Northwest Miramichi River,SFA16,DAYEV,,Atlantic salmon,saumon atlantique,Salmo salar,161996,3,65.333,fork
2021,215,New Brunswick,47.135170,-65.836670,Northwest Miramichi River,SFA16,DAYEV,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,12,38.083,fork
2021,215,New Brunswick,47.135170,-65.836670,Northwest Miramichi River,SFA16,DAYEV,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,4,30.250,fork
2021,216,New Brunswick,47.030000,-65.834670,Northwest Miramichi River,SFA16,DAYEV,,Atlantic salmon,saumon atlantique,Salmo salar,161996,13,53.923,fork
2021,216,New Brunswick,47.030000,-65.834670,Northwest Miramichi River,SFA16,DAYEV,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,3,52.000,fork
2021,217,New Brunswick,46.856000,-66.161000,Little Southwest Miramichi River,SFA16,DAQHM,,Atlantic salmon,saumon atlantique,Salmo salar,161996,13,65.308,fork
2021,217,New Brunswick,46.856000,-66.161000,Little Southwest Miramichi River,SFA16,DAQHM,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,35,45.829,fork
2021,217,New Brunswick,46.856000,-66.161000,Little Southwest Miramichi River,SFA16,DAQHM,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,12,45.750,fork
2021,218,New Brunswick,46.880000,-66.104000,Catamaran Brook,SFA16,DAESK,,Atlantic salmon,saumon atlantique,Salmo salar,161996,37,63.649,fork
2021,218,New Brunswick,46.880000,-66.104000,Catamaran Brook,SFA16,DAESK,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,15,53.267,fork
2021,218,New Brunswick,46.880000,-66.104000,Catamaran Brook,SFA16,DAESK,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,33.000,fork
2021,22,New Brunswick,47.655967,-66.607933,Southeast Upsalquitch River,SFA15,DAIOF,20.400,Atlantic salmon,saumon atlantique,Salmo salar,161996,36,66.167,fork
2021,22,New Brunswick,47.655967,-66.607933,Southeast Upsalquitch River,SFA15,DAIOF,20.400,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,27,,fork
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,American eel,anguille d'Amérique,Anguilla rostrata,161127,1,,total
