Sample_ID__Numéro_échantillon,Year__Année,Month__Mois,Day__Jour,Port_landed__Port_de_débarquement,Port_code,Port_latitude,Port_longitude,Fishing_area__Zone_de_pêche,Mesh_size_mm__Maillage_mm,21.0 cm ,21.5 cm ,22.0 cm ,22.5 cm ,23.0 cm ,23.5 cm ,24.0 cm ,24.5 cm ,25.0 cm ,25.5 cm ,26.0 cm ,26.5 cm ,27.0 cm ,27.5 cm ,28.0 cm ,28.5 cm ,29.0 cm ,29.5 cm ,30.0 cm ,30.5 cm ,31.0 cm ,31.5 cm ,32.0 cm ,32.5 cm ,33.0 cm ,33.5 cm ,34.0 cm ,34.5 cm ,35.0 cm ,35.5 cm ,36.0 cm ,36.5 cm ,37.0 cm ,37.5 cm ,38.0 cm ,38.5 cm ,39.0 cm ,39.5 cm ,40.0 cm ,40.5 cm ,41.0 cm ,41.5 cm ,42.0 cm ,42.5 cm ,43.0 cm ,43.5 cm ,44.0 cm ,44.5 cm ,45.0 cm ,45.5 cm ,46.0 cm ,46.5 cm ,47.0 cm ,47.5 cm ,48.0 cm 
41288,1998,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,1,6,6,4,6,8,7,6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41289,1998,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,4,13,11,2,5,3,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41293,1998,9,22,TONEY RIVER,11113,45.7716,-62.8906,4TH,57,0,0,0,0,0,0,0,0,0,2,6,6,23,24,50,49,31,17,19,16,13,6,11,4,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41294,1998,9,22,TONEY RIVER,11113,45.7716,-62.8906,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,18,17,16,18,19,16,4,1,5,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41360,1998,5,4,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41361,1998,5,4,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,4,3,6,8,10,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41362,1998,5,4,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,9,6,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42168,1998,5,4,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43168,1998,6,19,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,51,0,0,0,0,0,0,0,1,1,0,1,4,5,16,30,21,29,23,16,27,16,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43169,1998,6,19,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,18,20,41,32,25,22,11,5,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43170,1998,6,19,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,7,6,13,28,30,31,23,14,7,7,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43174,1998,9,11,TONEY RIVER,11113,45.7716,-62.8906,4TH,51,0,0,0,0,0,3,2,4,12,11,13,7,25,36,39,29,20,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43175,1998,9,11,TONEY RIVER,11113,45.7716,-62.8906,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,27,43,31,17,12,13,20,18,7,17,13,8,6,13,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43176,1998,9,11,TONEY RIVER,11113,45.7716,-62.8906,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,13,10,15,14,9,5,10,6,5,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43177,1998,9,15,LISMORE,11202,45.70600111,-62.27030041,4TH,51,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
