river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
Gander River,1,2002,49.260019,-54.499243,150,545.5266667
Harry's River,1,2002,48.507227,-58.506807,49,521.5918367
LaHave River,1,2002,44.53333,-64.71667,148,545.3513514
LaHave River,2,2002,44.53333,-64.71667,15,734.5333333
Miramichi River,1,2002,46.93316907,-65.65078752,2280,559.6855263
Miramichi River,2,2002,46.93316907,-65.65078752,369,765.0243902
Nashwaak River,1,2002,46.117667,-66.589062,196,571.9489796
Nashwaak River,2,2002,46.117667,-66.589062,41,795.5853659
Rocky River,1,2002,47.225684,-53.564593,37,554.8108108
Saint John River,1,2002,45.95542,-66.607509,341,584.7507331
Saint John River,2,2002,45.95542,-66.607509,114,778.4210526
Sand Hill River,1,2002,53.581429,-56.35112,64,570.390625
Torrent River,1,2002,50.612932,-57.168795,31,549.3548387
Western Arm Brook,1,2002,51.190752,-56.753424,98,550.7959184
Conne River,1,2003,47.868005,-55.705978,144,523.2847222
English River,1,2003,54.962884,-59.762211,35,531.9142857
Exploits River,1,2003,49.088976,-55.354689,85,552.0235294
Gander River,1,2003,49.260019,-54.499243,73,552.6575342
Harry's River,1,2003,48.507227,-58.506807,45,532.6
LaHave River,1,2003,44.53333,-64.71667,78,538.5
LaHave River,2,2003,44.53333,-64.71667,89,723.8089888
Middle Brook,1,2003,48.794529,-54.291912,64,552.578125
Miramichi River,1,2003,46.93316907,-65.65078752,1486,572.9030956
Miramichi River,2,2003,46.93316907,-65.65078752,852,764.4847418
Nashwaak River,1,2003,46.117667,-66.589062,103,585.3786408
Nashwaak River,2,2003,46.117667,-66.589062,68,763.6323529
Rocky River,1,2003,47.225684,-53.564593,30,570.4666667
Saint John River,1,2003,45.95542,-66.607509,206,583.0097087
Saint John River,2,2003,45.95542,-66.607509,167,764.4311377
Sand Hill River,1,2003,53.581429,-56.35112,133,560.5864662
Sand Hill River,2,2003,53.581429,-56.35112,17,743.9411765
Torrent River,1,2003,50.612932,-57.168795,20,557.05
Western Arm Brook,1,2003,51.190752,-56.753424,150,560.1733333
Conne River,1,2004,47.868005,-55.705978,236,521.5677966
English River,1,2004,54.962884,-59.762211,32,555.1875
Gander River,1,2004,49.260019,-54.499243,46,569.7173913
Harry's River,1,2004,48.507227,-58.506807,112,523.4910714
LaHave River,1,2004,44.53333,-64.71667,75,545.2933333
LaHave River,2,2004,44.53333,-64.71667,53,723.1509434
Middle Brook,1,2004,48.794529,-54.291912,45,557.9555556
Miramichi River,1,2004,46.93316907,-65.65078752,1754,573.1254276
Miramichi River,2,2004,46.93316907,-65.65078752,747,774.1686747
Nashwaak River,1,2004,46.117667,-66.589062,281,592.4626335
Nashwaak River,2,2004,46.117667,-66.589062,152,784.1710526
Rocky River,1,2004,47.225684,-53.564593,11,574.1818182
Saint John River,1,2004,45.95542,-66.607509,426,582.3004695
Saint John River,2,2004,45.95542,-66.607509,206,788.9805825
Sand Hill River,1,2004,53.581429,-56.35112,245,573.2408163
Sand Hill River,2,2004,53.581429,-56.35112,21,769.5238095
Torrent River,1,2004,50.612932,-57.168795,78,573.2307692
Western Arm Brook,1,2004,51.190752,-56.753424,69,562.826087
Conne River,1,2005,47.868005,-55.705978,148,511.4527027
English River,1,2005,54.962884,-59.762211,211,540.2843602
Gander River,1,2005,49.260019,-54.499243,60,566.3166667
Harry's River,1,2005,48.507227,-58.506807,52,515.4038462
LaHave River,1,2005,44.53333,-64.71667,212,542.0943396
LaHave River,2,2005,44.53333,-64.71667,31,718.0322581
Middle Brook,1,2005,48.794529,-54.291912,13,523.0769231
Miramichi River,1,2005,46.93316907,-65.65078752,1291,574.228505
Miramichi River,2,2005,46.93316907,-65.65078752,720,765.4833333
Nashwaak River,1,2005,46.117667,-66.589062,237,584.5780591
Nashwaak River,2,2005,46.117667,-66.589062,83,768.2891566
Rocky River,1,2005,47.225684,-53.564593,23,573.4782609
