Year,Zone,Size,5%,50%,95%,,,
1989,Gulf,Small,81376.65714,103084.7482,124978.1548,,,
1990,Gulf,Small,93224.54661,117435.848,141714.4497,,,
1991,Gulf,Small,67713.20018,85247.64337,103114.5621,,,
1992,Gulf,Small,164566.7319,192976.5768,221484.927,,,
1993,Gulf,Small,89409.06137,137860.3747,184095.9026,,,
1994,Gulf,Small,57275.67603,67143.84176,77082.55589,,,
1995,Gulf,Small,52123.56754,61001.12423,69844.15095,,,
1996,Gulf,Small,48120.22674,57327.08893,66612.51021,,,
1997,Gulf,Small,24723.89936,30594.84834,36332.45978,,,
1998,Gulf,Small,33371.43597,38919.03516,44436.88623,,,
1999,Gulf,Small,30951.2176,35470.08392,39926.09654,,,
2000,Gulf,Small,44629.02127,50714.36197,56735.82742,,,
2001,Gulf,Small,37939.83076,43387.23562,48923.41967,,,
2002,Gulf,Small,60417.55893,69347.63379,78257.36381,,,
2003,Gulf,Small,35959.3759,41676.64235,47559.95679,,,
2004,Gulf,Small,65819.68629,76401.55417,86907.28343,,,
2005,Gulf,Small,40352.41503,48594.38806,56580.01986,,,
2006,Gulf,Small,49135.44482,59272.64184,69443.19156,,,
2007,Gulf,Small,32240.22978,39786.34291,47052.26714,,,
2008,Gulf,Small,49158.96571,60361.3743,71678.16572,,,
2009,Gulf,Small,20371.79106,25331.50436,30195.30798,,,
2010,Gulf,Small,64315.90283,73876.77208,83437.61365,,,
2011,Gulf,Small,61031.67449,74846.62298,88500.09485,,,
2012,Gulf,Small,14858.63872,18553.1571,22187.48993,,,
2013,Gulf,Small,18985.78888,23680.30149,28440.03218,,,
2014,Gulf,Small,10355.53659,12657.61364,14939.15934,,,
2015,Gulf,Small,34924.09979,39519.6211,44051.95568,,,
2016,Gulf,Small,19725.10777,24200.95502,28630.81855,,,
2017,Gulf,Small,18941.62613,22491.75897,26122.55216,,,
2018,Gulf,Small,14841.08455,17625.47596,20317.36043,,,
2019,Gulf,Small,12964.22219,16018.30387,19129.10086,,,
2020,Gulf,Small,22743.13508,26423.36639,30086.7693,,,
2021,Gulf,Small,20339.34145,25259.08812,30305.46986,,,
2022,Gulf,Small,18000,14000,22000,,,
