abft_thon,region_région,year_année,month_mois,day_jour,latitude_latitude,longitude_longitude,fkl_lf,rw_pt,dw_pé,preyw_pproie,preyl_lproie,digestion_digestion,quantity_quantitée,prey_proie_fr,prey_proie_en,prey_proie_latin
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,178.70,30.00,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,170.31,29.90,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,84.17,24.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,38.75,17.00,4,1,Poisson non-identifié,Fish unidentified,NA
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,2.68,NA,4,13,Autre,Other,NA
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,0.67,NA,4,1,Poisson non-identifié,Fish unidentified,NA
1,PEI,2018,5,9,46.6000,-62.0883,224,141,105,0.39,NA,4,1,Autre,Other,NA
2,PEI,2018,NA,NA,46.3160,-62.1976,178,87,68,128.09,24.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
2,PEI,2018,NA,NA,46.3160,-62.1976,178,87,68,109.20,22.80,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
2,PEI,2018,NA,NA,46.3160,-62.1976,178,87,68,90.87,NA,4,1,Poisson non-identifié,Fish unidentified,NA
4,PEI,2018,8,31,NA,NA,248,205,NA,NA,NA,5,1,Autre,Other,NA
5,PEI,2018,NA,NA,46.5480,-62.2650,209,152,122,NA,NA,4,1,Poisson non-identifié,Fish unidentified,NA
5,PEI,2018,NA,NA,46.5480,-62.2650,209,152,122,NA,NA,4,1,Poisson non-identifié,Fish unidentified,NA
6,PEI,2018,NA,NA,46.5370,-62.0883,242,262,214,11.15,NA,5,1,Poisson non-identifié,Fish unidentified,NA
7,PEI,2018,9,15,46.5317,-62.0831,239,231,186,2.94,NA,5,1,Autre,Other,NA
7,PEI,2018,9,15,46.5317,-62.0831,239,231,186,2.71,NA,5,1,Poisson non-identifié,Fish unidentified,NA
7,PEI,2018,9,15,46.5317,-62.0831,239,231,186,0.04,NA,5,1,Autre,Other,NA
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,340.72,NA,4,1,Poisson non-identifié,Fish unidentified,NA
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,64.22,15.00,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,47.39,17.00,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,30.73,17.00,4,1,Poisson non-identifié,Fish unidentified,NA
8,PEI,2018,9,15,46.4833,-62.0167,270,272,207,NA,NA,NA,1,Autre,Other,NA
9,PEI,2018,9,15,NA,NA,214,150,117,0.01,NA,5,1,Poisson non-identifié,Fish unidentified,NA
10,PEI,2019,NA,NA,46.5833,-63.2000,239,272,NA,63.09,NA,3,1,Poisson appât non-identifié,Bait fish unidentified,NA
10,PEI,2019,NA,NA,46.5833,-63.2000,239,272,NA,328.16,NA,2,7,Poisson appât Hareng atlantique,Bait fish Atlantic herring,NA
10,PEI,2019,NA,NA,46.5833,-63.2000,239,272,NA,0.69,9.50,2,1,Autre,Other,NA
11,PEI,2019,NA,NA,47.4167,-62.4333,264,313,NA,NA,NA,NA,1,Autre,Other,NA
12,PEI,2019,8,28,46.6111,-62.8722,243,201,157,248.84,29.00,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
12,PEI,2019,8,28,46.6111,-62.8722,243,201,157,34.45,NA,4,1,Poisson non-identifié,Fish unidentified,NA
13,PEI,2019,9,4,NA,NA,187,111,84,586.06,NA,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,8.02,10.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,13.71,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,11.16,11.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,16.62,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,3.87,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,9.50,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,20.21,13.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,10.60,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,14.65,12.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,14.10,13.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,34.41,15.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,12.39,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,12.62,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,19.30,13.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,12.26,12.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,10.02,11.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
13,PEI,2019,9,4,NA,NA,187,111,84,7.94,NA,1,1,Autre,Other,NA
14,PEI,2019,8,28,46.3350,-61.9260,176,87,70,88.75,22.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
14,PEI,2019,8,28,46.3350,-61.9260,176,87,70,10.23,NA,4,1,Poisson non-identifié,Fish unidentified,NA
14,PEI,2019,8,28,46.3350,-61.9260,176,87,70,0.66,1.00,1,1,Autre,Other,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.69,NA,4,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.25,NA,4,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.13,NA,4,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,1.27,NA,5,1,Poisson non-identifié,Fish unidentified,NA
15,PEI,2019,9,10,46.7167,-62.1611,270,261,193,0.75,NA,NA,1,Autre,Other,NA
16,PEI,2019,8,25,NA,NA,254,217,165,1.60,NA,NA,1,Autre,Other,NA
16,PEI,2019,8,25,NA,NA,254,217,165,3.02,NA,1,9,Autre,Other,NA
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,176.60,20.50,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,146.56,18.50,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,90.84,20.05,4,1,Hareng atlantique,Atlantic herring,Clupea harengus
17,PEI,2018,NA,NA,46.5600,-62.1600,NA,NA,NA,29.29,NA,4,1,Poisson non-identifié,Fish unidentified,NA
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,194.93,24.50,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,137.90,24.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,94.59,NA,1,1,Poisson non-identifié,Fish unidentified,NA
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,75.10,NA,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
18,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,6.65,NA,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,323.74,31.50,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,301.19,30.10,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,281.39,30.50,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,271.62,30.40,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,267.12,29.00,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,262.41,29.50,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,238.76,28.90,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,227.05,29.30,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,218.12,29.90,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,218.09,28.60,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,213.46,28.00,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,212.30,21.90,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,210.47,28.00,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,209.21,28.60,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,202.14,29.10,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,199.07,27.80,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,198.97,29.00,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,192.23,32.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,191.42,27.80,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,189.83,31.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,189.83,31.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,182.80,28.20,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,132.52,25.80,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,128.10,25.50,1,1,Gaspereau,Alewife,Alosa pseudoharengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,126.76,26.00,1,1,Gaspereau,Alewife,Alosa pseudoharengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,108.14,25.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,108.14,25.00,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,87.05,24.50,1,1,Hareng atlantique,Atlantic herring,Clupea harengus
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,36.45,NA,5,1,Autre,Other,NA
19,Miscou,2018,9,17,48.0400,-64.1700,NA,NA,NA,2.38,NA,NA,2,Autre,Other,NA
20,PEI,2019,9,4,46.7111,-62.3611,223,174,138,8.35,11.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
20,PEI,2019,9,4,46.7111,-62.3611,223,174,138,11.40,11.40,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,216.37,28.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,30.83,15.20,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,7.39,11.60,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,14.48,12.80,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,13.47,11.30,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,9.17,NA,5,1,Poisson non-identifié,Fish unidentified,NA
21,PEI,2019,9,11,NA,NA,230,217,171,6.77,80.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
21,PEI,2019,9,11,NA,NA,230,217,171,9.58,11.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
22,PEI,2019,NA,NA,NA,NA,251,249,NA,NA,NA,NA,1,Autre,Other,NA
23,PEI,2019,9,10,46.5333,-62.0889,261,308,238,0.33,NA,1,1,Autre,Other,NA
23,PEI,2019,9,10,46.5333,-62.0889,261,308,238,117.89,24.00,3,1,Poisson non-identifié,Fish unidentified,NA
24,PEI,2019,9,25,46.6722,-62.1472,220,180,142,23.27,12.90,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
25,PEI,2019,9,16,NA,NA,183,113,87,18.77,12.70,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
26,PEI,2019,8,21,46.5110,-61.9930,226,180,142,NA,NA,NA,1,Autre,Other,NA
27,PEI,2019,8,21,46.5520,-62.2220,240,200,159,0.25,NA,2,1,Autre,Other,NA
27,PEI,2019,8,21,46.5520,-62.2220,240,200,159,1.46,NA,4,1,Poisson non-identifié,Fish unidentified,NA
28,PEI,2019,9,16,46.2444,-62.2417,278,349,270,0.02,NA,1,2,Autre,Other,NA
28,PEI,2019,9,16,46.2444,-62.2417,278,349,270,0.67,NA,1,1,Autre,Other,NA
29,PEI,2019,8,23,46.5160,-62.7940,250,221,170,0.02,NA,1,1,Autre,Other,NA
29,PEI,2019,8,23,46.5160,-62.7940,250,221,170,0.06,NA,5,1,Poisson non-identifié,Fish unidentified,NA
29,PEI,2019,8,23,46.5160,-62.7940,250,221,170,0.08,NA,NA,1,Autre,Other,NA
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,47.16,NA,5,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,0.61,NA,NA,1,Autre,Other,NA
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,33.36,19.50,4,1,Alose d'été,Blueback herring,Alosa aestivalis
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,34.60,20.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,72.73,NA,5,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,7.66,NA,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,28.95,NA,5,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,9.40,NA,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,117.23,NA,5,1,Poisson non-identifié,Fish unidentified,NA
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,13.31,NA,4,2,Maquereau bleu,Atlantic mackerel,Scomber scombrus
30,PEI,2019,9,19,46.5310,-62.4500,231,223,175,48.65,NA,5,1,Autre,Other,NA
31,PEI,2019,9,14,46.4667,-62.0667,272,279,215,0.64,NA,1,2,Autre,Other,NA
31,PEI,2019,9,14,46.4667,-62.0667,272,279,215,30.65,17.50,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,17.06,14.00,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,11.89,13.50,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,9.73,12.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,8.58,12.10,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,8.45,12.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,9.91,13.10,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,13.49,13.50,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,10.02,12.60,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,9.42,12.50,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,9.42,12.80,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,10.58,12.20,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,10.12,12.50,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,8.55,12.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,9.95,12.50,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,10.42,13.00,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,12.32,12.70,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
32,PEI,2019,8,21,46.7167,-63.3611,210,135,107,6.14,6.15,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
33,PEI,2019,8,23,46.5360,-62.6890,235,192,150,0.37,9.00,NA,2,Autre,Other,NA
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,19.39,14.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,17.84,12.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,37.75,15.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,16.61,12.00,4,1,Poisson non-identifié,Fish unidentified,NA
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,26.82,13.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,23.89,14.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,134.31,NA,4,10,Poisson non-identifié,Fish unidentified,NA
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,26.17,14.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,20.94,NA,3,0.5,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,39.70,14.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,10.80,NA,4,0.5,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,18.95,15.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,15.63,9.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
34,PEI,2019,9,16,46.5690,-62.6660,227,196,150,338.31,NA,4,1,Poisson non-identifié,Fish unidentified,NA
35,PEI,2019,9,14,46.2899,-62.2663,258,238,178,NA,NA,NA,1,Autre,Other,NA
36,PEI,2019,8,22,46.6389,-62.2056,241,205,162,215.96,27.50,1,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
36,PEI,2019,8,22,46.6389,-62.2056,241,205,162,6.02,NA,5,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,9.15,11.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,9.41,11.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,12.81,12.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,13.55,12.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,11.80,11.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,11.80,10.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,14.05,11.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,18.04,11.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,12.17,10.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,10.68,11.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,31.81,13.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,8.16,10.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,12.82,11.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,9.47,10.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,13.30,10.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,7.70,12.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,10.78,12.00,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,8.68,11.50,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
37,PEI,2019,8,21,46.5150,-62.0070,265,250,195,506.71,NA,NA,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
38,PEI,2019,9,19,46.5350,-62.5090,230,207,155,0.18,NA,2,1,Autre,Other,NA
39,PEI,2019,9,15,46.7889,-62.3833,234,196,147,0.78,NA,1,2,Autre,Other,NA
39,PEI,2019,9,15,46.7889,-62.3833,234,196,147,1.29,NA,NA,1,Autre,Other,NA
40,PEI,2019,9,15,46.5313,-62.0840,234,201,NA,0.66,NA,1,1,Autre,Other,NA
40,PEI,2019,9,15,46.5313,-62.0840,234,201,NA,21.31,NA,4,1,Poisson non-identifié,Fish unidentified,NA
40,PEI,2019,9,15,46.5313,-62.0840,234,201,NA,4.84,NA,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
40,PEI,2019,9,15,46.5313,-62.0840,234,201,NA,3.71,NA,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,216.12,29.40,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,185.76,29.20,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,137.62,25.10,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,193.24,29.20,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,286.92,27.80,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,265.03,29.30,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,144.19,27.50,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,146.46,25.70,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,51.72,15.50,NA,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
41,PEI,2019,9,14,46.0333,-62.2333,269,327,242,29.74,NA,NA,1,Autre,Other,NA
42,PEI,2019,8,25,46.5330,-62.0060,227,183,144,178.45,25.70,2,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
42,PEI,2019,8,25,46.5330,-62.0060,227,183,144,100.14,NA,5,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
43,PEI,2019,8,30,46.1200,-61.8330,230,202,161,10.97,12.00,3,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
43,PEI,2019,8,30,46.1200,-61.8330,230,202,161,6.50,NA,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
43,PEI,2019,8,30,46.1200,-61.8330,230,202,161,8.28,NA,4,1,Maquereau bleu,Atlantic mackerel,Scomber scombrus
44,PEI,2019,9,20,46.4840,-61.9130,245,254,202,NA,NA,NA,1,Autre,Other,NA
45,Miscou,2019,NA,NA,48.0241,-64.1204,254,275,NA,0.26,NA,1,1,Autre,Other,NA
45,Miscou,2019,NA,NA,48.0241,-64.1204,254,275,NA,0.05,NA,1,4,Autre,Other,NA
