year__année;region__region;landings.t__débarquements.t;boats__bateaux;trips__voyage;fishing.days__jours.de.pêche;towed.hours__heures.de.draguage;cpue.boats__???;cpue.trips__???;cpue.days__???;cpue.hours__???
1957;SFA 21A;0.139706616106177;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 22;1.53586559134908;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1957;SFA 24;114.940896843901;NA;NA;NA;NA;NA;NA;NA;NA
1958;NAFO 4T;92.7044116446372;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 22;0.442253086699749;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1958;SFA 24;92.2621585579374;NA;NA;NA;NA;NA;NA;NA;NA
1959;NAFO 4T;47.9053079442262;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 21C;0.00725748655097024;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 22;1.18206312198928;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1959;SFA 24;46.715987335686;NA;NA;NA;NA;NA;NA;NA;NA
1960;NAFO 4T;6.56303580662427;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 22;4.21750687193258;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1960;SFA 24;2.34552893469169;NA;NA;NA;NA;NA;NA;NA;NA
1961;NAFO 4T;8.80106322177972;NA;NA;NA;NA;NA;NA;NA;NA
1961;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;SFA 22;5.65448920902468;NA;NA;NA;NA;NA;NA;NA;NA
1961;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1961;SFA 24;3.14657401275503;NA;NA;NA;NA;NA;NA;NA;NA
1962;NAFO 4T;25.6202883036532;20;NA;NA;NA;1.28101441518266;NA;NA;NA
1962;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;SFA 21C;0.0762036087851875;NA;NA;NA;NA;NA;NA;NA;NA
1962;SFA 22;25.5268481643095;24;NA;NA;NA;1.0636186735129;NA;NA;NA
1962;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1962;SFA 24;0.0172365305585543;0;NA;NA;NA;NA;NA;NA;NA
1963;NAFO 4T;98.2173798659179;32;NA;NA;NA;3.06929312080994;NA;NA;NA
1963;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;SFA 22;96.1344812257895;32;NA;NA;NA;3.00420253830592;NA;NA;NA
1963;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1963;SFA 24;2.08289864012846;6;NA;NA;NA;0.347149773354743;NA;NA;NA
1964;NAFO 4T;230.018778746451;51;NA;NA;NA;4.51017213228335;NA;NA;NA
1964;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;SFA 22;151.831154575392;44;NA;NA;NA;3.45070805853163;NA;NA;NA
1964;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1964;SFA 24;78.187624171059;16;NA;NA;NA;4.88672651069119;NA;NA;NA
1965;NAFO 4T;383.718282515808;80;NA;NA;NA;4.7964785314476;NA;NA;NA
1965;SFA 21A;2.13188667434751;NA;NA;NA;NA;NA;NA;NA;NA
1965;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1965;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1965;SFA 22;132.301258266731;41;NA;NA;NA;3.22685995772514;NA;NA;NA
1965;SFA 23;3.64915495640972;NA;NA;NA;NA;NA;NA;NA;NA
1965;SFA 24;245.63598261832;46;NA;NA;NA;5.33991266561565;NA;NA;NA
1966;NAFO 4T;255.600511652802;66;NA;NA;NA;3.87273502504245;NA;NA;NA
1966;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;SFA 22;99.8757155428146;36;NA;NA;NA;2.77432543174485;NA;NA;NA
1966;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1966;SFA 24;155.724796109987;30;NA;NA;NA;5.19082653699957;NA;NA;NA
1967;NAFO 4T;456.431947455797;92;NA;NA;NA;4.96121682017171;NA;NA;NA
1967;SFA 21A;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;SFA 21C;2.13778338217017;NA;NA;NA;NA;NA;NA;NA;NA
1967;SFA 22;94.5854614400668;34;NA;NA;NA;2.78192533647255;NA;NA;NA
1967;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1967;SFA 24;359.70870263356;66;NA;NA;NA;5.45013185808425;NA;NA;NA
1968;NAFO 4T;898.272718200869;193;NA;NA;NA;4.65426278860554;NA;NA;NA
1968;SFA 21A;2.52424454100934;NA;NA;NA;NA;NA;NA;NA;NA
1968;SFA 21B;0.336565938801245;NA;NA;NA;NA;NA;NA;NA;NA
1968;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1968;SFA 22;616.937159238327;60;NA;NA;NA;10.2822859873054;NA;NA;NA
1968;SFA 23;4.84573305150094;NA;NA;NA;NA;NA;NA;NA;NA
1968;SFA 24;273.629015431231;99;NA;NA;NA;2.76392944880031;NA;NA;NA
1969;NAFO 4T;644.917491449774;229;NA;NA;NA;2.81623358711692;NA;NA;NA
1969;SFA 21A;5.08205495731691;NA;NA;NA;NA;NA;NA;NA;NA
1969;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;SFA 21C;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;SFA 22;231.744246173944;110;NA;NA;NA;2.10676587430858;NA;NA;NA
1969;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1969;SFA 24;408.091190318513;131;NA;NA;NA;3.11519992609552;NA;NA;NA
1970;NAFO 4T;697.238526367356;246;NA;NA;NA;2.83430295271283;NA;NA;NA
1970;SFA 21A;16.2708312543658;NA;NA;NA;NA;NA;NA;NA;NA
1970;SFA 21B;NA;NA;NA;NA;NA;NA;NA;NA;NA
1970;SFA 21C;53.3996788562201;NA;NA;NA;NA;NA;NA;NA;NA
1970;SFA 22;298.473659859749;128;NA;NA;NA;2.33182546765429;NA;NA;NA
1970;SFA 23;0.468561475447016;NA;NA;NA;NA;NA;NA;NA;NA
1970;SFA 24;328.625794921574;123;NA;NA;NA;2.6717544302567;NA;NA;NA
1971;NAFO 4T;591.173081982382;262;NA;NA;NA;2.25638580909306;NA;NA;NA
1971;SFA 21A;21.6105269842422;NA;NA;NA;NA;NA;NA;NA;NA
1971;SFA 21B;0.537961190590669;NA;NA;NA;NA;NA;NA;NA;NA
1971;SFA 21C;33.7881358238608;NA;NA;NA;NA;NA;NA;NA;NA
1971;SFA 22;268.82365214867;147;NA;NA;NA;1.82873232754197;NA;NA;NA
1971;SFA 23;0.361513548820205;NA;NA;NA;NA;NA;NA;NA;NA
1971;SFA 24;266.051292286199;122;NA;NA;NA;2.18074829742786;NA;NA;NA
1972;NAFO 4T;505.710281136885;279;NA;NA;NA;1.81258165282038;NA;NA;NA
1972;SFA 21A;37.9879525723254;NA;NA;NA;NA;NA;NA;NA;NA
1972;SFA 21B;0.161932668668523;NA;NA;NA;NA;NA;NA;NA;NA
1972;SFA 21C;43.0609356714536;NA;NA;NA;NA;NA;NA;NA;NA
1972;SFA 22;148.471391895202;130;NA;NA;NA;1.14208762996309;NA;NA;NA
1972;SFA 23;0.124738050094801;NA;NA;NA;NA;NA;NA;NA;NA
1972;SFA 24;275.903330279141;151;NA;NA;NA;1.82717437270954;NA;NA;NA
1973;NAFO 4T;305.167330424291;286;NA;NA;NA;1.06701863784717;NA;NA;NA
1973;SFA 21A;19.6337690849217;NA;NA;NA;NA;NA;NA;NA;NA
1973;SFA 21B;0.232693162540483;NA;NA;NA;NA;NA;NA;NA;NA
1973;SFA 21C;25.8402808647295;NA;NA;NA;NA;NA;NA;NA;NA
1973;SFA 22;112.598089466665;142;NA;NA;NA;0.792944292018771;NA;NA;NA
1973;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1973;SFA 24;146.862497845434;142;NA;NA;NA;1.03424294257348;NA;NA;NA
1974;NAFO 4T;202.0426;289;NA;NA;NA;0.699109342560554;NA;NA;NA
1974;SFA 21A;21.546;NA;NA;NA;NA;NA;NA;NA;NA
1974;SFA 21C;15.0641;NA;NA;NA;NA;NA;NA;NA;NA
1974;SFA 22;45.986;153;NA;NA;NA;0.300562091503268;NA;NA;NA
1974;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1974;SFA 24;119.4465;135;NA;NA;NA;0.884788888888889;NA;NA;NA
1975;NAFO 4T;277.602079518072;293;NA;NA;NA;0.947447370368847;NA;NA;NA
1975;SFA 21A;17.2186;NA;NA;NA;NA;NA;NA;NA;NA
1975;SFA 21C;16.2185;NA;NA;NA;NA;NA;NA;NA;NA
1975;SFA 22;58.1355;164;NA;NA;NA;0.354484756097561;NA;NA;NA
1975;SFA 23;0.0113;NA;NA;NA;NA;NA;NA;NA;NA
1975;SFA 24;186.018179518072;126;NA;NA;NA;1.47633475807994;NA;NA;NA
1976;NAFO 4T;364.639422891566;329;NA;NA;NA;1.10832651334823;NA;NA;NA
1976;SFA 21A;12.034;NA;NA;NA;NA;NA;NA;NA;NA
1976;SFA 21B;0.3447;NA;NA;NA;NA;NA;NA;NA;NA
1976;SFA 21C;14.15;NA;NA;NA;NA;NA;NA;NA;NA
1976;SFA 22;217.8164;124;NA;NA;NA;1.75658387096774;NA;NA;NA
1976;SFA 23;0.7938;NA;NA;NA;NA;NA;NA;NA;NA
1976;SFA 24;119.500522891566;203;NA;NA;NA;0.58867252655944;NA;NA;NA
1977;NAFO 4T;194.138308433735;228;NA;NA;NA;0.85148380891989;NA;NA;NA
1977;SFA 21A;5.13051445783132;NA;NA;NA;NA;NA;NA;NA;NA
1977;SFA 21B;0.1973;NA;NA;NA;NA;NA;NA;NA;NA
1977;SFA 21C;9.8567;NA;NA;NA;NA;NA;NA;NA;NA
1977;SFA 22;117.9361;118;NA;NA;NA;0.999458474576271;NA;NA;NA
1977;SFA 23;NA;NA;NA;NA;NA;NA;NA;NA;NA
1977;SFA 24;61.0176939759036;110;NA;NA;NA;0.554706308871851;NA;NA;NA
1978;NAFO 4T;267.8441;273;NA;5017;NA;0.981113919413919;NA;53.3873031692246;NA
1978;SFA 21A;4.7605;NA;NA;31;NA;NA;NA;153.564516129032;NA
1978;SFA 21C;9.9702;NA;NA;410;NA;NA;NA;24.3175609756098;NA
1978;SFA 22;172.4972;140;NA;2755;NA;1.23212285714286;NA;62.6124137931034;NA
1978;SFA 23;0.4559;NA;NA;1;NA;NA;NA;455.9;NA
1978;SFA 24;80.1603;133;NA;1820;NA;0.602709022556391;NA;44.0441208791209;NA
1979;NAFO 4T;238.6253;332;NA;6178;NA;0.718750903614458;NA;38.6250080932341;NA
1979;SFA 21A;4.5791;NA;NA;83;NA;NA;NA;55.1698795180723;NA
1979;SFA 21B;0.9163;NA;NA;6;NA;NA;NA;152.716666666667;NA
1979;SFA 21C;8.7431;NA;NA;359;NA;NA;NA;24.3540389972145;NA
1979;SFA 22;128.7113;178;NA;3321;NA;0.723097191011236;NA;38.7567901234568;NA
1979;SFA 23;0.2631;NA;NA;2;NA;NA;NA;131.55;NA
1979;SFA 24;95.4124;154;NA;2407;NA;0.619561038961039;NA;39.639551308683;NA
